NC-PED-rand-000001	a4792137-r0000003		20111231-041254
NC-PED-rand-000482	a4985452-r0000718		20121023-214830
NC-PED-rand-000483	a4305160-r0000520		20130727-044617
NC-PED-rand-000484	a4493944-r0013744		20110912-062541
NC-PED-rand-000485	a0613037-r0002119		20100318-125728
NC-PED-rand-000486	a0157766-r0000161		20131207-203539
NC-PED-rand-000487	a0737306-r0000004		20081124-195836
NC-PED-rand-000488	a4235746-r0000004		20100101-230107
NC-PED-rand-000489	a4856488-r0002816		20130623-225853
NC-PED-rand-000490	a4621004-r0000001		20110429-211911
NC-PED-rand-000491	a4232658-r0000193		20111122-201649
NC-PED-rand-000492	a4450897-r0000006		20101212-120528
NC-PED-rand-000493	a0668172-r0000154		20100802-025634
NC-PED-rand-000494	a3889408-r0007373		20100304-003637
NC-PED-rand-000495	a4309822-r0000178		20130506-194924
NC-PED-rand-000496	a4188148-r0000474		20110618-200325
NC-PED-rand-000497	a0480340-r1093966		20120422-014318
NC-PED-rand-000498	a4650817-r0002080		20111020-004246
NC-PED-rand-000499	a4779104-r0000179		20120417-225948
NC-PED-rand-000500	a0535761-r0000438		20121010-232425
NC-PED-rand-000501	a2538652-r0000033		20111126-170040
NC-PED-rand-000502	a3940635-r0002470		20100901-221009
NC-PED-rand-000503	a0001234-r0000664		20100719-011352
NC-PED-rand-000504	a4826635-r0000455		20130525-211522
NC-PED-rand-000505	a2752928-r0001061		20130731-223407
NC-PED-rand-000506	a0783223-r0000006		20090830-101658
NC-PED-rand-000507	a4528652-r0015475		20131224-020715
NC-PED-rand-000508	a4562144-r0000085		20110307-144041
NC-PED-rand-000509	a4589056-r0000001		20120702-174941
NC-PED-rand-000510	a5083327-r0016588		20131211-224317
NC-PED-rand-000511	a4776364-r0000026		20120103-173259
NC-PED-rand-000512	a4618248-r0009071		20131217-215713
NC-PED-rand-000513	a4170850-r0001476		20110704-123300
NC-PED-rand-000514	a4929112-r0000202		20120912-195918
NC-PED-rand-000515	a0637890-r0002795		20131102-214153
NC-PED-rand-000516	a0632801-r0000208		20090517-011259
NC-PED-rand-000517	a4521071-r0000056		20101212-162448
NC-PED-rand-000518	a4303807-r0000062		20120116-151744
NC-PED-rand-000519	a4150082-r0000686		20120929-000042
NC-PED-rand-000520	a4407106-r0000002		20110808-182821
NC-PED-rand-000521	a4465293-r0001188		20130106-005538
NC-PED-rand-000522	a0175412-r0000064		20121224-045255
NC-PED-rand-000523	a4141907-r0000019		20100116-115433
NC-PED-rand-000524	a0313631-r0017304		20111212-232708
NC-PED-rand-000525	a4792137-r0000292		20130611-064032
NC-PED-rand-000526	a4240227-r0000010		20120105-130002
NC-PED-rand-000527	a0771160-r0000004		20090814-154926
NC-PED-rand-000528	a0473908-r0000030		20121205-090741
NC-PED-rand-000529	a0187357-r0000287		20130519-185116
NC-PED-rand-000530	a0207216-r0000003		20080713-120313
NC-PED-rand-000531	a4180105-r0000056		20100319-112357
NC-PED-rand-000532	a0000001-r0000121		20090109-144653
NC-PED-rand-000533	a4185580-r0000126		20120621-211609
NC-PED-rand-000534	a0480340-r0574998		20110717-035140
NC-PED-rand-000535	a1208762-r0000006		20090201-214732
NC-PED-rand-000536	a5024443-r0010454		20131013-180233
NC-PED-rand-000537	a0128849-r0000036		20110331-211644
NC-PED-rand-000538	a3880457-r0000005		20091012-140727
NC-PED-rand-000539	a0480340-r1710259		20130629-071005
NC-PED-rand-000540	a0260793-r0001397		20110916-232637
NC-PED-rand-000541	a0079082-r0000062		20091103-184032
NC-PED-rand-000542	a4622274-r0000075		20110506-041251
NC-PED-rand-000543	a0495775-r0000427		20100802-035027
NC-PED-rand-000544	a1534843-r0001138		20130901-191108
NC-PED-rand-000545	a4285904-r0000308		20130510-185322
NC-PED-rand-000546	a0303013-r0000101		20111126-220959
NC-PED-rand-000547	a4618248-r0006721		20130518-003728
NC-PED-rand-000548	a0480340-r1499945		20130130-004707
NC-PED-rand-000549	a0517821-r0000005		20101215-015423
NC-PED-rand-000550	a4720519-r0000163		20121021-174827
NC-PED-rand-000551	a0073580-r0000055		20090927-143655
NC-PED-rand-000552	a4816363-r0000668		20130920-083112
NC-PED-rand-000553	a4203507-r0000110		20091115-205318
NC-PED-rand-000554	a0436970-r0000010		20090909-200803
NC-PED-rand-000555	a4650503-r0000305		20111015-022114
NC-PED-rand-000556	a4584850-r0005988		20110315-224145
NC-PED-rand-000557	a4985288-r0000107		20130615-111305
NC-PED-rand-000558	a5010577-r0006206		20130319-221523
NC-PED-rand-000559	a4354561-r0000238		20100510-224121
NC-PED-rand-000560	a4922236-r0000016		20120713-233926
NC-PED-rand-000561	a3286580-r0001156		20130206-192242
NC-PED-rand-000562	a4784330-r0000040		20111228-151337
NC-PED-rand-000563	a0001060-r0001957		20100622-022951
NC-PED-rand-000564	a0402761-r0000018		20080804-215956
NC-PED-rand-000565	a0667843-r0000059		20081206-133150
NC-PED-rand-000566	a4305208-r0000577		20100317-070734
NC-PED-rand-000567	a4445876-r0000701		20101121-152740
NC-PED-rand-000568	a4539901-r0001302		20121103-203331
NC-PED-rand-000569	a0401457-r0000091		20110216-044439
NC-PED-rand-000570	a0283124-r0002414		20110111-042124
NC-PED-rand-000571	a0417990-r0021140		20130121-225439
NC-PED-rand-000572	a4842330-r0000048		20130711-095419
NC-PED-rand-000573	a1199834-r0000121		20120722-210342
NC-PED-rand-000574	a0480340-r0119937		20101010-002034
NC-PED-rand-000575	a0000487-r0001310		20110326-234231
NC-PED-rand-000576	a1118988-r0000008		20101019-105400
NC-PED-rand-000577	a4481717-r0000011		20110820-152602
NC-PED-rand-000578	a4448748-r0000593		20130925-192738
NC-PED-rand-000579	a4407109-r0000116		20111221-183936
NC-PED-rand-000580	a0149788-r0000166		20100125-232622
NC-PED-rand-000581	a0480340-r1859073		20130920-212343
NC-PED-rand-000582	a0000506-r0000144		20110215-033141
NC-PED-rand-000583	a0036286-r0001043		20111223-230639
NC-PED-rand-000584	a4430305-r0000434		20110424-113335
NC-PED-rand-000585	a4449612-r0005817		20120109-114033
NC-PED-rand-000586	a4137720-r0000042		20130730-113900
NC-PED-rand-000587	a0122983-r0000014		20080531-233836
NC-PED-rand-000588	a0480340-r1122846		20120509-223258
NC-PED-rand-000589	a4953096-r0000092		20121126-035342
NC-PED-rand-000590	a4466787-r0000032		20101007-013540
NC-PED-rand-000591	a0480340-r0996986		20120225-000740
NC-PED-rand-000592	a4555244-r0000033		20110130-142711
NC-PED-rand-000593	a4137848-r0000026		20100621-234720
NC-PED-rand-000594	a4000646-r0000004		20100602-105115
NC-PED-rand-000595	a0191117-r0001132		20090328-172952
NC-PED-rand-000596	a0825867-r0000039		20090703-193828
NC-PED-rand-000597	a1429229-r0000074		20110622-210828
NC-PED-rand-000598	a4465769-r0003755		20100922-200717
NC-PED-rand-000599	a4365154-r0000034		20110907-141627
NC-PED-rand-000600	a4777458-r0000016		20111220-233535
NC-PED-rand-000601	a4471808-r0000003		20130618-133216
NC-PED-rand-000602	a4261728-r0000432		20110203-104644
NC-PED-rand-000603	a4520679-r0000081		20110425-161028
NC-PED-rand-000604	a0480340-r1278413		20120820-234611
NC-PED-rand-000605	a0322141-r0000357		20120215-140246
NC-PED-rand-000606	a0480340-r0080024		20100906-212447
NC-PED-rand-000607	a4425537-r0000131		20110109-130329
NC-PED-rand-000608	a0480340-r1088995		20120418-191006
NC-PED-rand-000609	a5024443-r0002196		20130404-021811
NC-PED-rand-000610	a4802047-r0000004		20121009-225001
NC-PED-rand-000611	a0480340-r0358919		20110327-215421
NC-PED-rand-000612	a0118257-r0001850		20090610-134037
NC-PED-rand-000613	a0480340-r0262885		20110122-232106
NC-PED-rand-000614	a2007408-r0000864		20130109-013133
NC-PED-rand-000615	a4513263-r0000004		20101203-030801
NC-PED-rand-000616	a0480340-r0739927		20111002-073735
NC-PED-rand-000617	a0416868-r0000147		20100919-051922
NC-PED-rand-000618	a0480340-r1145309		20120522-033352
NC-PED-rand-000619	a0734524-r0000142		20100716-062446
NC-PED-rand-000620	a4770153-r0000130		20111205-161316
NC-PED-rand-000621	a4148027-r0000582		20120207-224322
NC-PED-rand-000622	a0369051-r0000339		20130109-234627
NC-PED-rand-000623	a0654872-r0001521		20101113-112522
NC-PED-rand-000624	a5045089-r0000322		20130220-191038
NC-PED-rand-000625	a4184845-r0000088		20130829-021915
NC-PED-rand-000626	a0480340-r1026843		20120310-003628
NC-PED-rand-000627	a4554150-r0000217		20120101-083713
NC-PED-rand-000628	a4220530-r0001287		20130331-131445
NC-PED-rand-000629	a0373652-r0001330		20121122-020429
NC-PED-rand-000630	a0389570-r0000039		20091223-065200
NC-PED-rand-000631	a2786060-r0001581		20101226-143323
NC-PED-rand-000632	a4164906-r0000017		20121223-044158
NC-PED-rand-000633	a4887592-r0000019		20130108-221409
NC-PED-rand-000634	a0399490-r0000004		20100823-174833
NC-PED-rand-000635	a2752928-r0000456		20120527-010002
NC-PED-rand-000636	a4548603-r0004388		20130311-225210
NC-PED-rand-000637	a0480340-r1714404		20130701-202345
NC-PED-rand-000638	a0071040-r0000303		20130309-001709
NC-PED-rand-000639	a4183673-r0000765		20110408-134614
NC-PED-rand-000640	a2796988-r0000698		20111221-203041
NC-PED-rand-000641	a5018324-r0002805		20130902-221101
NC-PED-rand-000642	a4957023-r0000379		20130115-121028
NC-PED-rand-000643	a0020365-r0000031		20100806-002606
NC-PED-rand-000644	a4133202-r0000005		20090825-015131
NC-PED-rand-000645	a5031943-r0007057		20130624-044300
NC-PED-rand-000646	a0731487-r0000105		20110222-000444
NC-PED-rand-000647	a0591669-r0000012		20101022-104958
NC-PED-rand-000648	a5117879-r0000177		20130811-151225
NC-PED-rand-000649	a4686019-r0000051		20131223-212619
NC-PED-rand-000650	a4465769-r0002888		20100922-001905
NC-PED-rand-000651	a4273931-r0000001		20100427-130403
NC-PED-rand-000652	a1463901-r0000153		20130402-214538
NC-PED-rand-000653	a4365146-r0000052		20100613-113630
NC-PED-rand-000654	a2942007-r0002776		20100702-023353
NC-PED-rand-000655	a0799027-r0000009		20090307-033000
NC-PED-rand-000656	a0554201-r0000003		20081220-142455
NC-PED-rand-000657	a0266680-r0000067		20130406-003250
NC-PED-rand-000658	a5119738-r0000041		20130922-174828
NC-PED-rand-000659	a0561499-r0000913		20110325-214051
NC-PED-rand-000660	a4806102-r0000568		20130822-004054
NC-PED-rand-000661	a4910627-r0000002		20130428-105918
NC-PED-rand-000662	a0480340-r0297911		20110216-014235
NC-PED-rand-000663	a0000353-r0004500		20120203-223753
NC-PED-rand-000664	a1815434-r0000006		20100504-213804
NC-PED-rand-000665	a0613037-r0001625		20091001-184419
NC-PED-rand-000666	a4580285-r0000001		20110522-043453
NC-PED-rand-000667	a0720737-r0000008		20110608-205754
NC-PED-rand-000668	a4972139-r0000854		20130111-080946
NC-PED-rand-000669	a0167961-r0000303		20120328-205256
NC-PED-rand-000670	a2906917-r0000140		20121211-220630
NC-PED-rand-000671	a0635152-r0000515		20111201-224859
NC-PED-rand-000672	a0480340-r0145134		20101030-210428
NC-PED-rand-000673	a4537749-r0006875		20120830-211753
NC-PED-rand-000674	a4092777-r0002413		20120512-204414
NC-PED-rand-000675	a4610198-r0000158		20131115-004438
NC-PED-rand-000676	a0480340-r0009933		20100801-224002
NC-PED-rand-000677	a0163719-r0000201		20080528-043109
NC-PED-rand-000678	a5138349-r0000012		20130904-105126
NC-PED-rand-000679	a0702436-r0000251		20110311-190933
NC-PED-rand-000680	a5085610-r0000337		20130620-020210
NC-PED-rand-000681	a0515047-r0000031		20091023-024100
NC-PED-rand-000682	a4855489-r0001501		20120830-102020
NC-PED-rand-000683	a1281999-r0000039		20120930-081045
NC-PED-rand-000684	a4238795-r0000009		20130505-060015
NC-PED-rand-000685	a2007408-r0000910		20130213-105656
NC-PED-rand-000686	a0967087-r0000083		20140209-213157
NC-PED-rand-000687	a0358852-r0000086		20111004-185546
NC-PED-rand-000688	a0113452-r0000021		20100222-232807
NC-PED-rand-000689	a0344287-r0015627		20100116-231047
NC-PED-rand-000690	a4831180-r0000430		20120226-201034
NC-PED-rand-000691	a3248043-r0000002		20091029-194409
NC-PED-rand-000692	a0541036-r0000683		20110624-122318
NC-PED-rand-000693	a4810662-r0000036		20121009-025823
NC-PED-rand-000694	a5083130-r0000005		20130520-145610
NC-PED-rand-000695	a0610372-r0000227		20101224-002230
NC-PED-rand-000696	a0480340-r1147652		20120524-005658
NC-PED-rand-000697	a4781802-r0000053		20120320-094859
NC-PED-rand-000698	a4181379-r0000036		20131101-230949
NC-PED-rand-000699	a0186820-r0000126		20100713-195911
NC-PED-rand-000700	a1155517-r0000039		20121123-114657
NC-PED-rand-000701	a0146179-r0000043		20081114-064516
NC-PED-rand-000702	a0234575-r0000003		20080613-210710
NC-PED-rand-000703	a0672623-r0000249		20090313-200328
NC-PED-rand-000704	a4244368-r0000094		20100131-182744
NC-PED-rand-000705	a4584850-r0005974		20110315-224001
NC-PED-rand-000706	a0739214-r0000129		20110312-135413
NC-PED-rand-000707	a0759595-r0000394		20120129-211041
NC-PED-rand-000708	a4825123-r0000035		20121018-013213
NC-PED-rand-000709	a4907319-r0000360		20131019-005253
NC-PED-rand-000710	a4772297-r0000137		20120129-085147
NC-PED-rand-000711	a0128088-r0000915		20130610-020047
NC-PED-rand-000712	a0189148-r0000315		20131013-183021
NC-PED-rand-000713	a0341280-r0003744		20110115-152722
NC-PED-rand-000714	a1597421-r0002095		20120108-171343
NC-PED-rand-000715	a4138363-r0000024		20100324-234920
NC-PED-rand-000716	a0745878-r0000223		20100709-182755
NC-PED-rand-000717	a3056126-r0000083		20110413-215837
NC-PED-rand-000718	a4483758-r0000021		20130904-194256
NC-PED-rand-000719	a4634951-r0000016		20110619-160442
NC-PED-rand-000720	a4302163-r0002666		20131001-004010
NC-PED-rand-000721	a0277477-r0000112		20131123-130347
NC-PED-rand-000722	a5157718-r0000118		20131108-231936
NC-PED-rand-000723	a0345072-r0000309		20100817-170938
NC-PED-rand-000724	a0826555-r0000018		20090114-170109
NC-PED-rand-000725	a0000719-r0000006		20090131-101108
NC-PED-rand-000726	a0257994-r0000208		20101016-094039
NC-PED-rand-000727	a4996789-r0000280		20130503-002542
NC-PED-rand-000728	a4272002-r0000349		20131221-234819
NC-PED-rand-000729	a0480340-r0235011		20101231-125500
NC-PED-rand-000730	a4576456-r0001373		20110419-174839
NC-PED-rand-000731	a0868112-r0000183		20130914-191740
NC-PED-rand-000732	a1366022-r0000026		20110306-134711
NC-PED-rand-000733	a0793672-r0000031		20100227-002528
NC-PED-rand-000734	a4198491-r0000011		20101128-012540
NC-PED-rand-000735	a4531129-r0000478		20130329-103433
NC-PED-rand-000736	a4230112-r0003645		20130327-210149
NC-PED-rand-000737	a4751093-r0000119		20130705-122535
NC-PED-rand-000738	a0480340-r1700150		20130622-091221
NC-PED-rand-000739	a4225505-r0000123		20100622-051809
NC-PED-rand-000740	a0480340-r1345059		20121010-171524
NC-PED-rand-000741	a0480340-r0990291		20120221-024011
NC-PED-rand-000742	a5024304-r0000017		20130314-013953
NC-PED-rand-000743	a0217315-r0000494		20120905-215221
NC-PED-rand-000744	a4212412-r0001085		20100813-221252
NC-PED-rand-000745	a0104348-r0000044		20110610-045734
NC-PED-rand-000746	a0185341-r0000138		20090622-172528
NC-PED-rand-000747	a0631896-r0000054		20091018-043404
NC-PED-rand-000748	a4823400-r0000001		20120221-224930
NC-PED-rand-000749	a1245379-r0000019		20110109-204653
NC-PED-rand-000750	a0189294-r0000296		20130507-074352
NC-PED-rand-000751	a0742419-r0000047		20100711-123931
NC-PED-rand-000752	a0341280-r0004470		20110223-191858
NC-PED-rand-000753	a0689171-r0002558		20110317-075050
NC-PED-rand-000754	a4196616-r0000094		20091104-131549
NC-PED-rand-000755	a4250198-r0001764		20101020-210124
NC-PED-rand-000756	a0480340-r1847066		20130911-162519
NC-PED-rand-000757	a5173645-r0000090		20131226-184709
NC-PED-rand-000758	a3772102-r0001059		20101202-052400
NC-PED-rand-000759	a4855721-r0000025		20130703-221551
NC-PED-rand-000760	a4534740-r0000029		20110101-155630
NC-PED-rand-000761	a0141056-r0003284		20130220-132525
NC-PED-rand-000762	a4364219-r0001055		20101101-040844
NC-PED-rand-000763	a4802942-r0000007		20121030-041255
NC-PED-rand-000764	a4855212-r0000137		20120827-003213
NC-PED-rand-000765	a0284663-r0000556		20110907-184848
NC-PED-rand-000766	a4468430-r0000618		20110626-165957
NC-PED-rand-000767	a0480340-r0813279		20111114-214742
NC-PED-rand-000768	a0313631-r0019885		20121217-221825
NC-PED-rand-000769	a0167544-r0000032		20110307-092329
NC-PED-rand-000770	a5005691-r0000282		20130101-163736
NC-PED-rand-000771	a0000553-r0000692		20120615-041912
NC-PED-rand-000772	a4431079-r0000262		20140129-101447
NC-PED-rand-000773	a0480340-r1354157		20121016-151738
NC-PED-rand-000774	a4375345-r0000005		20110126-001715
NC-PED-rand-000775	a0419121-r0002270		20120821-201554
NC-PED-rand-000776	a0455869-r0015284		20101205-124925
NC-PED-rand-000777	a3950192-r0000149		20130224-013058
NC-PED-rand-000778	a0737472-r0000428		20130325-203802
NC-PED-rand-000779	a0492833-r0000315		20110405-110552
NC-PED-rand-000780	a4742464-r0000062		20111020-014906
NC-PED-rand-000781	a4333001-r0000001		20100412-205909
NC-PED-rand-000782	a4794399-r0000056		20120115-204353
NC-PED-rand-000783	a4668716-r0000019		20120323-215115
NC-PED-rand-000784	a0293295-r0000313		20101116-083604
NC-PED-rand-000785	a5125596-r0000020		20131113-144842
NC-PED-rand-000786	a0432124-r0000168		20131106-183028
NC-PED-rand-000787	a4448065-r0000160		20110524-022243
NC-PED-rand-000788	a4828743-r0000016		20120912-051448
NC-PED-rand-000789	a4288796-r0000007		20100221-191242
NC-PED-rand-000790	a0755618-r0004214		20131112-000912
NC-PED-rand-000791	a4603783-r0000001		20110407-113452
NC-PED-rand-000792	a0344287-r0020900		20100321-213246
NC-PED-rand-000793	a4781799-r0000369		20120501-143817
NC-PED-rand-000794	a4615536-r0000015		20111208-214502
NC-PED-rand-000795	a4781799-r0000411		20120501-155458
NC-PED-rand-000796	a0480340-r0030062		20100809-201253
NC-PED-rand-000797	a0480340-r1444318		20121221-210544
NC-PED-rand-000798	a5126023-r0000002		20130807-212017
NC-PED-rand-000799	a0137598-r0000173		20110915-180854
NC-PED-rand-000800	a0480340-r0757906		20111015-144637
NC-PED-rand-000801	a0480340-r1725430		20130707-100616
NC-PED-rand-000802	a4628813-r0000003		20120228-222320
NC-PED-rand-000803	a0018313-r0000236		20100630-173622
NC-PED-rand-000804	a0792512-r0000089		20100602-192430
NC-PED-rand-000805	a0121863-r0000134		20111222-181231
NC-PED-rand-000806	a0313631-r0005302		20091208-212636
NC-PED-rand-000807	a0480340-r1433545		20121214-072100
NC-PED-rand-000808	a0798395-r0000015		20111118-162723
NC-PED-rand-000809	a4490767-r0000078		20130227-125341
NC-PED-rand-000810	a0480340-r0416800		20110503-051942
NC-PED-rand-000811	a4795261-r0004511		20131203-135835
NC-PED-rand-000812	a4465967-r0000692		20101024-121325
NC-PED-rand-000813	a4704307-r0000374		20121210-163359
NC-PED-rand-000814	a0140122-r0000695		20110821-190836
NC-PED-rand-000815	a4147671-r0000002		20120206-073821
NC-PED-rand-000816	a4681532-r0000015		20110805-214741
NC-PED-rand-000817	a4770120-r0000015		20130623-045652
NC-PED-rand-000818	a0480340-r0119635		20101009-213412
NC-PED-rand-000819	a4656048-r0000302		20120203-210549
NC-PED-rand-000820	a0792137-r0000022		20091106-053256
NC-PED-rand-000821	a4242944-r0000049		20100821-192554
NC-PED-rand-000822	a0599256-r0001348		20120918-090956
NC-PED-rand-000823	a0105681-r0000053		20081113-022703
NC-PED-rand-000824	a3702169-r0000394		20130919-145049
NC-PED-rand-000825	a0376259-r0000826		20110217-093812
NC-PED-rand-000826	a5117451-r0000260		20131027-212351
NC-PED-rand-000827	a1851928-r0000250		20110611-222646
NC-PED-rand-000828	a4832917-r0000008		20130627-212608
NC-PED-rand-000829	a0480340-r1086857		20120416-225656
NC-PED-rand-000830	a0480340-r0905225		20120106-235928
NC-PED-rand-000831	a2821103-r0000029		20140107-052157
NC-PED-rand-000832	a0287543-r0000790		20100118-190828
NC-PED-rand-000833	a4308141-r0000204		20100318-232431
NC-PED-rand-000834	a0530959-r0000011		20100901-131036
NC-PED-rand-000835	a4823713-r0000003		20120214-134326
NC-PED-rand-000836	a0480340-r0140091		20101026-143926
NC-PED-rand-000837	a4159099-r0000125		20120720-212443
NC-PED-rand-000838	a0168266-r0000058		20101214-000856
NC-PED-rand-000839	a4144820-r0006624		20100502-230208
NC-PED-rand-000840	a0000476-r0019064		20131130-171512
NC-PED-rand-000841	a0628172-r0000245		20091118-010805
NC-PED-rand-000842	a4705018-r0000022		20120811-181654
NC-PED-rand-000843	a0060374-r0002658		20130213-120633
NC-PED-rand-000844	a0313631-r0014019		20110312-192611
NC-PED-rand-000845	a4508990-r0000033		20110707-074209
NC-PED-rand-000846	a3031256-r0000036		20090530-012752
NC-PED-rand-000847	a4405544-r0008997		20110209-000002
NC-PED-rand-000848	a0599256-r0000931		20111111-010634
NC-PED-rand-000849	a4516488-r0009433		20120706-173217
NC-PED-rand-000850	a0654096-r0000319		20090822-011231
NC-PED-rand-000851	a4473909-r0000035		20131116-235537
NC-PED-rand-000852	a4324045-r0000037		20110127-140733
NC-PED-rand-000853	a4940239-r0000053		20121011-205150
NC-PED-rand-000854	a4160832-r0000061		20090923-185220
NC-PED-rand-000855	a4135069-r0000089		20090917-154618
NC-PED-rand-000856	a4486127-r0000014		20130416-162650
NC-PED-rand-000857	a2550702-r0000004		20091104-202319
NC-PED-rand-000858	a0338831-r0000365		20091119-213042
NC-PED-rand-000859	a2679864-r0000297		20121217-024852
NC-PED-rand-000860	a4517704-r0000153		20121007-202748
NC-PED-rand-000861	a0823551-r0000012		20120713-020653
NC-PED-rand-000862	a0480340-r0753839		20111012-000303
NC-PED-rand-000863	a0185965-r0001417		20120109-223734
NC-PED-rand-000864	a4854839-r0001058		20130118-144952
NC-PED-rand-000865	a4524384-r0000003		20120303-023745
NC-PED-rand-000866	a5118390-r0000003		20130722-180041
NC-PED-rand-000867	a0113117-r0000008		20110404-020202
NC-PED-rand-000868	a0260793-r0000720		20110225-195847
NC-PED-rand-000869	a4889765-r0001158		20121205-195009
NC-PED-rand-000870	a0601278-r0003355		20100430-010012
NC-PED-rand-000871	a2875277-r0000121		20110910-065046
NC-PED-rand-000872	a0103427-r0002993		20130904-095634
NC-PED-rand-000873	a4280574-r0000006		20130714-182922
NC-PED-rand-000874	a4149479-r0000012		20091109-020240
NC-PED-rand-000875	a0652387-r0000009		20100118-143857
NC-PED-rand-000876	a0272750-r0000012		20090928-193239
NC-PED-rand-000877	a4305208-r0015924		20110313-211649
NC-PED-rand-000878	a0197803-r0000060		20120815-102818
NC-PED-rand-000879	a0103559-r0000489		20100104-195114
NC-PED-rand-000880	a1833087-r0000088		20120511-232004
NC-PED-rand-000881	a4352706-r0000292		20110817-183334
NC-PED-rand-000882	a4149581-r0000119		20110615-222834
NC-PED-rand-000883	a4528652-r0004476		20111010-194618
NC-PED-rand-000884	a4426659-r0000028		20131028-175957
NC-PED-rand-000885	a4445428-r0003565		20121116-103414
NC-PED-rand-000886	a4144820-r0001066		20100129-213928
NC-PED-rand-000887	a0480340-r0963857		20120206-234159
NC-PED-rand-000888	a4338596-r0011431		20120804-011318
NC-PED-rand-000889	a0610453-r0000059		20090210-072358
NC-PED-rand-000890	a4623747-r0000067		20130212-211408
NC-PED-rand-000891	a5103409-r0000146		20130620-183748
NC-PED-rand-000892	a4152592-r0001028		20100823-231328
NC-PED-rand-000893	a0657544-r0000110		20120818-024043
NC-PED-rand-000894	a5063036-r0001493		20130806-001314
NC-PED-rand-000895	a4471085-r0000131		20101120-135637
NC-PED-rand-000896	a4855608-r0000116		20120630-064828
NC-PED-rand-000897	a4470169-r0000121		20120730-200405
NC-PED-rand-000898	a4215195-r0000411		20100311-205158
NC-PED-rand-000899	a4264090-r0000007		20100121-131240
NC-PED-rand-000900	a4558015-r0004570		20130725-020519
NC-PED-rand-000901	a4506938-r0000183		20111215-151119
NC-PED-rand-000902	a4185523-r0000065		20120501-001844
NC-PED-rand-000903	a4618902-r0000018		20110526-213225
NC-PED-rand-000904	a4669092-r0000004		20110708-000232
NC-PED-rand-000905	a0266215-r0000099		20111116-202926
NC-PED-rand-000906	a0480340-r1174682		20120610-113127
NC-PED-rand-000907	a0679917-r0000184		20130117-015653
NC-PED-rand-000908	a0480340-r0416024		20110502-215257
NC-PED-rand-000909	a0463692-r0000146		20131020-212927
NC-PED-rand-000910	a4205520-r0000014		20110615-204058
NC-PED-rand-000911	a4492684-r0000101		20101203-200240
NC-PED-rand-000912	a5068926-r0000328		20130802-185009
NC-PED-rand-000913	a4944367-r0000003		20130603-213125
NC-PED-rand-000914	a0747719-r0001442		20130207-130908
NC-PED-rand-000915	a0340222-r0002390		20120506-232841
NC-PED-rand-000916	a1156367-r0000066		20110609-174232
NC-PED-rand-000917	a0795102-r0000116		20130214-173054
NC-PED-rand-000918	a3772102-r0000308		20091231-013057
NC-PED-rand-000919	a4242811-r0000007		20100818-212225
NC-PED-rand-000920	a4165883-r0000095		20110724-230055
NC-PED-rand-000921	a4799220-r0000027		20120216-195017
NC-PED-rand-000922	a5043330-r0000112		20131025-180420
NC-PED-rand-000923	a4337663-r0000052		20111112-220221
NC-PED-rand-000924	a0640779-r0000020		20120213-232216
NC-PED-rand-000925	a0774002-r0000787		20101104-015648
NC-PED-rand-000926	a4745152-r0000046		20130118-215632
NC-PED-rand-000927	a0000351-r0003606		20100514-190935
NC-PED-rand-000928	a4139946-r0000055		20100221-055357
NC-PED-rand-000929	a0795949-r0000039		20090222-100312
NC-PED-rand-000930	a0172312-r0000316		20111226-134904
NC-PED-rand-000931	a4760728-r0000016		20131120-194711
NC-PED-rand-000932	a4502396-r0000739		20110802-212017
NC-PED-rand-000933	a4210887-r0000291		20130911-221743
NC-PED-rand-000934	a4278764-r0000113		20110808-210104
NC-PED-rand-000935	a2693964-r0001378		20101010-203701
NC-PED-rand-000936	a0480340-r1247941		20120729-131407
NC-PED-rand-000937	a4158852-r0000012		20100509-074345
NC-PED-rand-000938	a0112927-r0000645		20100814-204827
NC-PED-rand-000939	a4734401-r0000149		20111128-031223
NC-PED-rand-000940	a4418353-r0000009		20100722-080602
NC-PED-rand-000941	a0711930-r0000003		20081114-114123
NC-PED-rand-000942	a4652161-r0000015		20120524-063732
NC-PED-rand-000943	a4375027-r0000002		20120926-130544
NC-PED-rand-000944	a4158558-r0000428		20130922-231432
NC-PED-rand-000945	a0503056-r0000314		20110626-001239
NC-PED-rand-000946	a3889408-r0002276		20091013-013614
NC-PED-rand-000947	a4641944-r0000058		20111119-002642
NC-PED-rand-000948	a4539901-r0000896		20111124-074840
NC-PED-rand-000949	a4131013-r0000006		20120219-224739
NC-PED-rand-000950	a4479928-r0000034		20101023-230359
NC-PED-rand-000951	a0781997-r0000493		20131027-185709
NC-PED-rand-000952	a1058006-r0000020		20100305-101442
NC-PED-rand-000953	a0721764-r0000060		20110617-212901
NC-PED-rand-000954	a4739229-r0001277		20120826-125033
NC-PED-rand-000955	a0734319-r0001764		20130503-141015
NC-PED-rand-000956	a5152231-r0000067		20131212-213720
NC-PED-rand-000957	a0344287-r0005313		20090814-071200
NC-PED-rand-000958	a0258803-r0000223		20091125-013255
NC-PED-rand-000959	a5031943-r0002657		20130516-224024
NC-PED-rand-000960	a5050320-r0000255		20131022-135049
NC-PED-rand-000961	a0663671-r0000005		20081121-020626
NC-PED-rand-000962	a0299182-r0000005		20130208-131932
