BJ-OY-ctrl-000006:1	OY03_08252:10-160
BJ-OY-ctrl-003489:1	OY14_21980:2910-3040
BJ-OY-ctrl-003491:1	OY14_34138:2160-2230
BJ-OY-ctrl-003512:1	OY04_06605:200-410
BJ-OY-ctrl-003513:1	OY11_08169:10-170
BJ-OY-ctrl-003515:1	OY01_00236:5300-5400
BJ-OY-ctrl-003531:1	OY11_01156:760-940
BJ-OY-ctrl-003532:1	OY04_05057:5680-5810
BJ-OY-ctrl-003537:1	OY14_48316:850-920
BJ-OY-ctrl-003543:1	OY03_08507:710-810
BJ-OY-ctrl-003550:1	OY15_04301:420-550
BJ-OY-ctrl-003570:1	OY14_34995:5430-5470
BJ-OY-ctrl-003586:1	OY14_44275:6800-7040
BJ-OY-ctrl-003612:1	OY03_02993:290-560
BJ-OY-ctrl-003619:1	OY14_16584:680-710
BJ-OY-ctrl-003622:1	OY14_22547:200-310
BJ-OY-ctrl-003648:1	OY03_07048:11940-11970
BJ-OY-ctrl-003655:1	OY14_08249:2140-2290
BJ-OY-ctrl-003660:1	OY04_07305:1340-1400
BJ-OY-ctrl-003662:1	OY15_19107:3260-3520
BJ-OY-ctrl-003677:1	OY07_01241:530-640
BJ-OY-ctrl-003690:1	OY15_05863:1130-1190
BJ-OY-ctrl-003692:1	OY14_11409:520-690
BJ-OY-ctrl-003726:1	OY15_13426:3590-3870
BJ-OY-ctrl-003731:1	OY15_10485:4870-4980
BJ-OY-ctrl-003739:1	OY13_03444:2360-2600
BJ-OY-ctrl-003756:1	OY05_02651:2580-3240
BJ-OY-ctrl-003773:1	OY15_17664:1640-1750
BJ-OY-ctrl-003774:1	OY15_11599:10-380
BJ-OY-ctrl-003788:1	OY14_17470:27650-27720
BJ-OY-ctrl-003796:1	OY14_05544:790-1120
BJ-OY-ctrl-003811:1	OY14_11155:130-280
BJ-OY-ctrl-003812:1	OY05_03621:900-1030
BJ-OY-ctrl-003818:1	OY15_14817:6050-6210
BJ-OY-ctrl-003834:1	OY05_01872:870-1010
BJ-OY-ctrl-003841:1	OY05_00809:2410-2670
BJ-OY-ctrl-003849:1	OY13_04218:410-510
BJ-OY-ctrl-003851:1	OY13_03740:8290-8350
BJ-OY-ctrl-003876:1	OY14_49445:1930-1980
BJ-OY-ctrl-003892:1	OY03_06420:2230-2430
BJ-OY-ctrl-003900:1	OY13_07231:1960-2080
BJ-OY-ctrl-003915:1	OY15_14101:590-640
BJ-OY-ctrl-003925:1	OY15_17827:420-510
BJ-OY-ctrl-003936:1	OY04_02460:1200-1390
BJ-OY-ctrl-003958:1	OY14_39673:2540-2660
BJ-OY-ctrl-003960:1	OY03_06513:1420-1600
BJ-OY-ctrl-003967:1	OY04_03051:580-650
BJ-OY-ctrl-003975:1	OY14_46280:1730-2000
BJ-OY-ctrl-003980:1	OY15_19197:3140-3330
BJ-OY-ctrl-004002:1	OY14_46558:430-690
BJ-OY-ctrl-004015:1	OY03_01970:1440-1720
BJ-OY-ctrl-004025:1	OY13_04158:9500-9600
BJ-OY-ctrl-004026:1	OY14_12138:10-210
BJ-OY-ctrl-004031:1	OY07_02619:910-1150
BJ-OY-ctrl-004040:1	OY14_22394:10-340
BJ-OY-ctrl-004072:1	OY02_00159:1340-1430
BJ-OY-ctrl-004080:1	OY14_53743:2050-2330
BJ-OY-ctrl-004085:1	OY14_23042:10-120
BJ-OY-ctrl-004108:1	OY04_06006:540-730
BJ-OY-ctrl-004110:1	OY14_03700:2930-3130
BJ-OY-ctrl-004143:1	OY11_00445:1130-1300
BJ-OY-ctrl-004171:1	OY03_08468:460-530
BJ-OY-ctrl-004179:1	OY03_05623:1750-1960
BJ-OY-ctrl-004180:1	OY14_31421:910-1020
BJ-OY-ctrl-004200:1	OY01_00963:620-810
BJ-OY-ctrl-004207:1	OY13_06040:1280-1490
BJ-OY-ctrl-004225:1	OY14_51022:320-420
BJ-OY-ctrl-004226:1	OY14_18001:1480-1640
BJ-OY-ctrl-004230:1	OY13_06302:2760-2890
BJ-OY-ctrl-004231:1	OY15_03685:1030-1210
BJ-OY-ctrl-004235:1	OY14_20873:1460-1520
BJ-OY-ctrl-004237:1	OY14_36558:570-890
BJ-OY-ctrl-004238:1	OY15_17495:1490-1780
BJ-OY-ctrl-004242:1	OY04_01580:5400-5570
BJ-OY-ctrl-004255:1	OY11_06246:2500-2890
BJ-OY-ctrl-004263:1	OY04_05276:8290-8350
BJ-OY-ctrl-004281:1	OY03_10664:1230-1340
BJ-OY-ctrl-004283:1	OY14_48393:250-350
BJ-OY-ctrl-004289:1	OY15_11524:480-730
BJ-OY-ctrl-004304:1	OY04_06200:1060-1470
BJ-OY-ctrl-004305:1	OY14_15466:1290-2010
BJ-OY-ctrl-004307:1	OY15_21802:80-260
BJ-OY-ctrl-004336:1	OY14_51772:1520-1640
BJ-OY-ctrl-004340:1	OY14_39668:1360-1420
BJ-OY-ctrl-004356:1	OY15_11835:8050-8170
BJ-OY-ctrl-004360:1	OY14_05113:1150-1940
BJ-OY-ctrl-004365:1	OY05_03355:5470-5590
BJ-OY-ctrl-004372:1	OY03_04452:1200-1280
BJ-OY-ctrl-004384:1	OY03_04706:13580-13690
BJ-OY-ctrl-004399:1	OY15_07362:2200-2320
BJ-OY-ctrl-004402:1	OY14_47086:1700-1780
BJ-OY-ctrl-004409:1	OY15_15186:1630-1700
BJ-OY-ctrl-004413:1	OY14_40892:810-950
BJ-OY-ctrl-004419:1	OY11_08510:670-810
BJ-OY-ctrl-004441:1	OY07_01347:3420-3590
BJ-OY-ctrl-004445:1	OY03_03687:550-720
BJ-OY-ctrl-004446:1	OY14_12883:8430-8790
BJ-OY-ctrl-004454:1	OY13_04677:410-610
BJ-OY-ctrl-004472:1	OY04_04361:190-480
BJ-OY-ctrl-004474:1	OY04_08745:320-400
BJ-OY-ctrl-004481:1	OY14_46545:2880-3310
BJ-OY-ctrl-004487:1	OY04_03035:1820-1950
BJ-OY-ctrl-004499:1	OY14_27710:390-430
BJ-OY-ctrl-004501:1	OY05_05794:1890-2190
BJ-OY-ctrl-004519:1	OY07_02769:8100-8610
BJ-OY-ctrl-004520:1	OY14_26506:950-1120
BJ-OY-ctrl-004544:1	OY02_00364:5290-5520
BJ-OY-ctrl-004571:1	OY14_06312:1740-1890
BJ-OY-ctrl-004579:1	OY14_38104:930-1010
BJ-OY-ctrl-004597:1	OY04_03134:270-390
BJ-OY-ctrl-004611:1	OY11_01370:1030-1230
BJ-OY-ctrl-004617:1	OY15_09260:370-520
BJ-OY-ctrl-004624:1	OY04_05682:12420-12550
BJ-OY-ctrl-004632:1	OY14_39662:550-700
BJ-OY-ctrl-004641:1	OY13_02545:1210-1380
BJ-OY-ctrl-004665:1	OY15_17848:220-400
BJ-OY-ctrl-004671:1	OY05_04849:7380-7530
BJ-OY-ctrl-004674:1	OY03_10117:1330-1410
BJ-OY-ctrl-004684:1	OY04_02178:1410-1690
BJ-OY-ctrl-004693:1	OY03_09766:1590-1880
BJ-OY-ctrl-004694:1	OY04_01465:740-860
BJ-OY-ctrl-004695:1	OY04_03163:5890-5980
BJ-OY-ctrl-004696:1	OY14_36191:14520-14830
BJ-OY-ctrl-004729:1	OY05_04431:3610-3950
BJ-OY-ctrl-004737:1	OY15_05082:3850-3960
BJ-OY-ctrl-004741:1	OY15_00419:1950-2030
BJ-OY-ctrl-004771:1	OY15_19778:620-940
BJ-OY-ctrl-004817:1	OY15_04308:1940-2030
BJ-OY-ctrl-004831:1	OY14_07810:910-1030
BJ-OY-ctrl-004874:1	OY15_18325:11640-11890
BJ-OY-ctrl-004883:1	OY03_08165:6060-6300
BJ-OY-ctrl-004908:1	OY13_01042:700-890
BJ-OY-ctrl-004909:1	OY03_07350:90-180
BJ-OY-ctrl-004970:1	OY04_03376:2820-3070
BJ-OY-ctrl-004980:1	OY14_47896:1800-1960
BJ-OY-ctrl-004988:1	OY04_01742:5280-6020
BJ-OY-ctrl-004993:1	OY14_50884:130-470
BJ-OY-ctrl-004998:1	OY05_06041:540-680
BJ-OY-ctrl-005010:1	OY14_12769:4070-4390
BJ-OY-ctrl-005015:1	OY15_06817:780-1000
BJ-OY-ctrl-005040:1	OY03_04159:1250-1310
BJ-OY-ctrl-005072:1	OY04_00461:330-760
BJ-OY-ctrl-005076:1	OY14_12452:1530-1650
BJ-OY-ctrl-005078:1	OY04_05545:330-440
BJ-OY-ctrl-005104:1	OY04_02282:10-110
BJ-OY-ctrl-005121:1	OY04_07762:11170-11330
BJ-OY-ctrl-005139:1	OY13_04980:1500-1660
BJ-OY-ctrl-005146:1	OY05_05887:4530-4790
BJ-OY-ctrl-005147:1	OY05_03297:3050-3220
BJ-OY-ctrl-005203:1	OY15_13602:160-310
BJ-OY-ctrl-005233:1	OY14_45704:70-200
BJ-OY-ctrl-005236:1	OY04_02439:8400-8580
BJ-OY-ctrl-005246:1	OY14_31852:3480-3610
BJ-OY-ctrl-005249:1	OY15_10893:4210-4500
BJ-OY-ctrl-005268:1	OY01_00526:5940-6360
BJ-OY-ctrl-005274:1	OY14_00942:1290-1420
BJ-OY-ctrl-005301:1	OY14_11352:1310-1390
BJ-OY-ctrl-005304:1	OY15_02786:130-230
BJ-OY-ctrl-005321:1	OY05_03469:2500-2640
BJ-OY-ctrl-005328:1	OY15_12567:10980-11190
BJ-OY-ctrl-005332:1	OY14_34159:10-160
BJ-OY-ctrl-005348:1	OY07_01140:2050-2190
BJ-OY-ctrl-005365:1	OY15_17863:3530-3670
BJ-OY-ctrl-005381:1	OY14_42482:3870-4020
BJ-OY-ctrl-005394:1	OY14_16978:1820-2160
BJ-OY-ctrl-005409:1	OY15_14953:12580-12980
BJ-OY-ctrl-005442:1	OY13_04092:4590-4800
BJ-OY-ctrl-005460:1	OY14_13003:180-330
BJ-OY-ctrl-005493:1	OY15_13583:860-940
BJ-OY-ctrl-005495:1	OY14_14498:610-730
BJ-OY-ctrl-005503:1	OY14_12542:2360-2510
BJ-OY-ctrl-005511:1	OY14_50267:10-130
BJ-OY-ctrl-005518:1	OY14_18824:3550-3680
BJ-OY-ctrl-005535:1	OY03_08930:4280-4420
BJ-OY-ctrl-005536:1	OY14_33179:6360-6700
BJ-OY-ctrl-005578:1	OY07_01347:6990-7320
BJ-OY-ctrl-005610:1	OY15_10582:2880-3090
BJ-OY-ctrl-005630:1	OY14_37449:5450-5520
BJ-OY-ctrl-005648:1	OY14_35230:1040-1100
BJ-OY-ctrl-005655:1	OY15_06969:6500-6610
BJ-OY-ctrl-005675:1	OY15_17664:6530-6560
BJ-OY-ctrl-005702:1	OY15_18951:500-760
BJ-OY-ctrl-005712:1	OY01_01120:450-830
BJ-OY-ctrl-005716:1	OY13_03501:760-870
BJ-OY-ctrl-005728:1	OY14_43458:10-130
BJ-OY-ctrl-005731:1	OY14_04408:700-770
BJ-OY-ctrl-005732:1	OY14_24890:710-1110
BJ-OY-ctrl-005773:1	OY05_04938:14470-14680
BJ-OY-ctrl-005794:1	OY04_04979:500-710
BJ-OY-ctrl-005833:1	OY14_21131:3090-3230
BJ-OY-ctrl-005840:1	OY05_01793:920-1070
BJ-OY-ctrl-005846:1	OY14_14289:2650-3300
BJ-OY-ctrl-005848:1	OY14_27109:1580-1670
BJ-OY-ctrl-005886:1	OY04_00169:7310-7400
BJ-OY-ctrl-005896:1	OY15_11619:3230-3310
BJ-OY-ctrl-005906:1	OY15_18545:1520-1680
BJ-OY-ctrl-005911:1	OY14_27636:510-620
BJ-OY-ctrl-005923:1	OY14_15076:6190-6270
BJ-OY-ctrl-005930:1	OY14_21611:10-90
BJ-OY-ctrl-005957:1	OY11_01620:3920-4030
BJ-OY-ctrl-005962:1	OY14_04137:1030-1220
BJ-OY-ctrl-005986:1	OY13_05214:40-140
BJ-OY-ctrl-005991:1	OY14_39996:510-570
BJ-OY-ctrl-005998:1	OY14_22029:220-380
BJ-OY-ctrl-006015:1	OY15_07923:3700-3780
BJ-OY-ctrl-006019:1	OY14_20994:2730-2860
BJ-OY-ctrl-006075:1	OY15_15633:320-390
BJ-OY-ctrl-006101:1	OY03_06334:2000-2220
BJ-OY-ctrl-006107:1	OY15_00721:3000-3370
BJ-OY-ctrl-006152:1	OY14_34949:3750-3820
BJ-OY-ctrl-006182:1	OY03_03820:970-1130
BJ-OY-ctrl-006265:1	OY13_04549:3370-3610
BJ-OY-ctrl-006305:1	OY14_06598:780-1100
BJ-OY-ctrl-006364:1	OY14_18962:4270-4350
BJ-OY-ctrl-006368:1	OY14_23229:180-340
BJ-OY-ctrl-006370:1	OY13_03889:530-610
BJ-OY-ctrl-006387:1	OY13_05727:290-330
BJ-OY-ctrl-006407:1	OY15_18232:1180-1230
BJ-OY-ctrl-006421:1	OY14_22898:380-500
BJ-OY-ctrl-006424:1	OY15_13415:310-390
BJ-OY-ctrl-006483:1	OY15_13576:10-140
BJ-OY-ctrl-006507:1	OY05_05326:780-870
BJ-OY-ctrl-006583:1	OY03_03608:1740-2400
BJ-OY-ctrl-006603:1	OY14_12834:2420-2720
BJ-OY-ctrl-006624:1	OY15_20652:5750-5940
BJ-OY-ctrl-006629:1	OY14_05570:6830-7000
BJ-OY-ctrl-006631:1	OY14_15920:2800-2880
BJ-OY-ctrl-006659:1	OY15_16570:10-150
BJ-OY-ctrl-006663:1	OY14_16583:1840-1910
BJ-OY-ctrl-006670:1	OY15_05832:1300-1410
BJ-OY-ctrl-006718:1	OY11_01644:180-250
BJ-OY-ctrl-006745:1	OY14_26066:450-470
BJ-OY-ctrl-006746:1	OY14_25934:2700-2880
BJ-OY-ctrl-006749:1	OY15_00590:1130-1440
BJ-OY-ctrl-006751:1	OY14_20632:5740-6000
BJ-OY-ctrl-006759:1	OY01_03130:10-120
BJ-OY-ctrl-006779:1	OY08_01365:7030-7120
BJ-OY-ctrl-006820:1	OY04_07597:1100-1520
BJ-OY-ctrl-006822:1	OY14_29047:2370-2600
BJ-OY-ctrl-006842:1	OY15_20457:2760-3130
BJ-OY-ctrl-006854:1	OY14_46874:1090-1200
BJ-OY-ctrl-006896:1	OY14_53133:10-160
BJ-OY-ctrl-006898:1	OY15_01161:2350-2720
BJ-OY-ctrl-007069:1	OY14_35525:3390-3470
BJ-OY-ctrl-007076:1	OY14_32379:780-1000
BJ-OY-ctrl-007087:1	OY03_10875:2340-2790
BJ-OY-ctrl-007095:1	OY14_48322:1490-1590
BJ-OY-ctrl-007102:1	OY04_08301:1090-1290
BJ-OY-ctrl-007134:1	OY15_08020:1520-1620
BJ-OY-ctrl-007147:1	OY13_03975:1250-1690
BJ-OY-ctrl-007176:1	OY14_53796:5450-5630
BJ-OY-ctrl-007180:1	OY04_01475:22630-22840
BJ-OY-ctrl-007182:1	OY04_06255:3300-3730
BJ-OY-ctrl-007186:1	OY14_08551:3720-3880
BJ-OY-ctrl-007222:1	OY04_05498:350-580
BJ-OY-ctrl-007336:1	OY14_53743:730-1020
BJ-OY-ctrl-007357:1	OY13_02815:1550-2900
BJ-OY-ctrl-007359:1	OY14_06648:5590-5830
BJ-OY-ctrl-007372:1	OY14_28098:10-80
BJ-OY-ctrl-007394:1	OY14_34836:670-770
BJ-OY-ctrl-007426:1	OY14_28893:1440-1680
BJ-OY-ctrl-007427:1	OY14_51920:1250-1520
BJ-OY-ctrl-007432:1	OY07_00083:9430-9660
BJ-OY-ctrl-007434:1	OY01_01619:260-380
BJ-OY-ctrl-007468:1	OY02_01035:10-70
BJ-OY-ctrl-007490:1	OY03_02696:10-180
BJ-OY-ctrl-007493:1	OY14_50202:10-330
BJ-OY-ctrl-007539:1	OY05_01699:10-240
BJ-OY-ctrl-007641:1	OY07_00515:2340-2530
BJ-OY-ctrl-007707:1	OY03_07483:830-930
BJ-OY-ctrl-007710:1	OY15_09465:1270-1380
BJ-OY-ctrl-007728:1	OY05_03317:1120-1270
BJ-OY-ctrl-007871:1	OY01_00229:2320-2600
BJ-OY-ctrl-008041:1	OY04_06190:2840-2980
BJ-OY-ctrl-008163:1	OY03_12030:180-290
BJ-OY-ctrl-008224:1	OY15_07629:920-1110
BJ-OY-ctrl-008307:1	OY15_16119:12490-12560
BJ-OY-ctrl-008368:1	OY14_21195:2860-2950
BJ-OY-ctrl-008447:1	OY05_05508:1860-2160
BJ-OY-ctrl-008568:1	OY03_09146:5410-5500
BJ-OY-ctrl-008599:1	OY11_02167:420-700
BJ-OY-ctrl-008663:1	OY14_14266:1600-1750
BJ-OY-ctrl-008683:1	OY15_10283:660-760
BJ-OY-ctrl-008789:1	OY05_03328:7740-7920
BJ-OY-ctrl-008795:1	OY04_07703:5750-5800
BJ-OY-ctrl-008852:1	OY11_07719:200-430
BJ-OY-ctrl-008877:1	OY14_03480:1180-1250
BJ-OY-ctrl-009006:1	OY03_03535:6940-7020
BJ-OY-ctrl-009052:1	OY14_10233:10-280
BJ-OY-ctrl-009101:1	OY11_01370:3530-3610
BJ-OY-ctrl-009116:1	OY14_46942:1250-1370
BJ-OY-ctrl-009150:1	OY03_02533:230-340
BJ-OY-ctrl-009225:1	OY14_46629:750-890
BJ-OY-ctrl-009232:1	OY15_17545:910-1070
BJ-OY-ctrl-009258:1	OY14_07989:1340-1430
BJ-OY-ctrl-009260:1	OY03_01380:1160-1370
BJ-OY-ctrl-009261:1	OY05_05265:4310-4420
BJ-OY-ctrl-009311:1	OY13_00960:1500-1570
BJ-OY-ctrl-009325:1	OY04_02168:2690-2900
BJ-OY-ctrl-009411:1	OY14_20507:1640-1730
BJ-OY-ctrl-009430:1	OY14_42489:3340-3500
BJ-OY-ctrl-009439:1	OY15_04945:1150-1380
BJ-OY-ctrl-009444:1	OY14_32678:10-150
BJ-OY-ctrl-009481:1	OY14_06773:420-650
BJ-OY-ctrl-009482:1	OY05_04299:4310-4490
BJ-OY-ctrl-009501:1	OY14_21246:4330-4450
BJ-OY-ctrl-009574:1	OY11_09574:100-310
BJ-OY-ctrl-009624:1	OY14_24920:3080-3220
BJ-OY-ctrl-009638:1	OY05_06587:1560-1930
BJ-OY-ctrl-009647:1	OY05_00676:1870-1970
BJ-OY-ctrl-009652:1	OY04_09048:1760-1910
BJ-OY-ctrl-009671:1	OY05_03939:1490-1840
BJ-OY-ctrl-009673:1	OY15_20652:14490-14660
BJ-OY-ctrl-009683:1	OY14_49997:430-520
BJ-OY-ctrl-009691:1	OY14_16463:2050-2190
BJ-OY-ctrl-009710:1	OY14_22572:2020-2190
BJ-OY-ctrl-009748:1	OY14_28839:10-90
BJ-OY-ctrl-009840:1	OY01_02115:1990-2110
BJ-OY-ctrl-009886:1	OY04_02539:7370-8060
BJ-OY-ctrl-009904:1	OY15_13628:5400-5710
BJ-OY-ctrl-009933:1	OY14_07765:1260-1570
BJ-OY-ctrl-009939:1	OY14_18471:2420-2460
BJ-OY-ctrl-009992:1	OY14_29191:9650-10340
BJ-OY-ctrl-010014:1	OY14_19731:1060-1620
BJ-OY-ctrl-010034:1	OY04_01451:290-520
BJ-OY-ctrl-010048:1	OY14_03467:110-360
BJ-OY-ctrl-010049:1	OY14_28354:560-700
BJ-OY-ctrl-010056:1	OY14_23933:10-120
BJ-OY-ctrl-010058:1	OY03_11525:1520-1590
BJ-OY-ctrl-010081:1	OY14_29926:3410-3520
BJ-OY-ctrl-010095:1	OY14_21169:4380-4600
BJ-OY-ctrl-010123:1	OY14_01901:340-470
BJ-OY-ctrl-010128:1	OY05_06237:230-340
BJ-OY-ctrl-010153:1	OY14_33736:1490-1600
BJ-OY-ctrl-010182:1	OY03_04199:580-690
BJ-OY-ctrl-010220:1	OY03_03561:1940-2150
BJ-OY-ctrl-010238:1	OY14_05392:2240-2360
BJ-OY-ctrl-010241:1	OY15_08387:160-260
BJ-OY-ctrl-010242:1	OY11_08127:1770-1850
BJ-OY-ctrl-010243:1	OY03_02457:1460-1570
BJ-OY-ctrl-010244:1	OY13_02340:10340-10410
BJ-OY-ctrl-010264:1	OY02_01064:5940-6080
BJ-OY-ctrl-010314:1	OY08_00630:2660-2840
BJ-OY-ctrl-010318:1	OY05_06982:500-540
BJ-OY-ctrl-010359:1	OY14_16412:10-500
BJ-OY-ctrl-010365:1	OY14_51162:4730-4810
BJ-OY-ctrl-010395:1	OY14_35240:2400-2600
BJ-OY-ctrl-010397:1	OY14_14092:200-450
BJ-OY-ctrl-010422:1	OY14_05376:1120-1270
BJ-OY-ctrl-010423:1	OY14_21962:620-750
BJ-OY-ctrl-010483:1	OY04_00237:1700-1940
BJ-OY-ctrl-010488:1	OY15_11376:10-600
BJ-OY-ctrl-010497:1	OY09_00856:1460-1730
BJ-OY-ctrl-010513:1	OY14_31082:1860-2160
BJ-OY-ctrl-010572:1	OY01_02407:1430-1560
BJ-OY-ctrl-010575:1	OY03_04228:480-600
BJ-OY-ctrl-010646:1	OY14_00851:2520-2860
BJ-OY-ctrl-010681:1	OY14_04057:460-540
BJ-OY-ctrl-010720:1	OY14_18143:1750-1960
BJ-OY-ctrl-010740:1	OY14_23119:3080-3250
BJ-OY-ctrl-010742:1	OY15_10979:6640-6820
BJ-OY-ctrl-010758:1	OY14_14607:1520-1750
BJ-OY-ctrl-010762:1	OY05_02980:5340-5540
BJ-OY-ctrl-010785:1	OY15_13294:2930-3240
BJ-OY-ctrl-010825:1	OY14_47038:3480-3820
BJ-OY-ctrl-010837:1	OY14_45897:1200-1760
BJ-OY-ctrl-010860:1	OY04_01272:7240-7340
BJ-OY-ctrl-010865:1	OY14_03812:11930-12090
BJ-OY-ctrl-010903:1	OY15_01197:1890-2010
BJ-OY-ctrl-010925:1	OY14_01446:170-370
BJ-OY-ctrl-010933:1	OY14_34304:2750-3040
BJ-OY-ctrl-010953:1	OY05_03488:230-530
BJ-OY-ctrl-010965:1	OY14_44961:10170-10230
BJ-OY-ctrl-010996:1	OY15_16581:3000-3160
BJ-OY-ctrl-011003:1	OY15_15536:2410-2550
BJ-OY-ctrl-011018:1	OY14_02182:250-480
BJ-OY-ctrl-011055:1	OY08_01546:4000-4250
BJ-OY-ctrl-011151:1	OY14_08413:2240-2420
BJ-OY-ctrl-011152:1	OY14_28519:3120-3250
BJ-OY-ctrl-011156:1	OY14_38493:1260-1640
BJ-OY-ctrl-011164:1	OY13_03608:7320-7480
BJ-OY-ctrl-011167:1	OY03_11232:7900-8020
BJ-OY-ctrl-011168:1	OY13_00356:440-870
BJ-OY-ctrl-011206:1	OY04_04626:9440-9580
BJ-OY-ctrl-011213:1	OY15_16412:290-350
BJ-OY-ctrl-011241:1	OY15_04140:2810-3200
BJ-OY-ctrl-011285:1	OY15_04155:660-740
BJ-OY-ctrl-011289:1	OY10_00217:6850-6990
BJ-OY-ctrl-011302:1	OY14_52395:710-1010
BJ-OY-ctrl-011326:1	OY14_25253:9300-9500
BJ-OY-ctrl-011351:1	OY14_53647:1900-2020
BJ-OY-ctrl-011391:1	OY14_16577:10-110
BJ-OY-ctrl-011414:1	OY14_43675:340-450
BJ-OY-ctrl-011425:1	OY11_04585:1460-1680
BJ-OY-ctrl-011445:1	OY14_14956:10-120
BJ-OY-ctrl-011463:1	OY13_07509:1300-1510
BJ-OY-ctrl-011464:1	OY05_00110:2800-2870
BJ-OY-ctrl-011488:1	OY03_09233:1800-1990
BJ-OY-ctrl-011503:1	OY02_00558:740-930
BJ-OY-ctrl-011530:1	OY04_08729:3040-3280
BJ-OY-ctrl-011612:1	OY14_40632:10-550
BJ-OY-ctrl-011613:1	OY03_11861:860-930
BJ-OY-ctrl-011636:1	OY15_16789:10-170
BJ-OY-ctrl-011652:1	OY14_08423:1540-1680
BJ-OY-ctrl-011656:1	OY05_05981:10-300
BJ-OY-ctrl-011728:1	OY04_07136:6300-6360
BJ-OY-ctrl-011765:1	OY14_18673:1010-1090
BJ-OY-ctrl-011772:1	OY15_11654:2540-2720
BJ-OY-ctrl-011806:1	OY04_08889:10-230
BJ-OY-ctrl-011812:1	OY15_21698:2380-2490
BJ-OY-ctrl-011826:1	OY14_49013:1910-2210
BJ-OY-ctrl-011836:1	OY03_10491:7970-8410
BJ-OY-ctrl-011876:1	OY11_03235:2910-3010
BJ-OY-ctrl-011877:1	OY14_34874:5110-5420
BJ-OY-ctrl-011906:1	OY14_15625:3590-3770
BJ-OY-ctrl-011921:1	OY03_08555:1490-1670
BJ-OY-ctrl-011976:1	OY05_06683:50-290
BJ-OY-ctrl-011994:1	OY03_02246:720-1010
BJ-OY-ctrl-012032:1	OY14_14549:1010-1070
BJ-OY-ctrl-012040:1	OY14_44355:2510-2620
BJ-OY-ctrl-012050:1	OY04_07287:870-970
BJ-OY-ctrl-012053:1	OY08_01250:910-990
BJ-OY-ctrl-012076:1	OY14_05596:170-240
BJ-OY-ctrl-012083:1	OY04_08372:3490-3560
BJ-OY-ctrl-012103:1	OY14_48585:840-1130
BJ-OY-ctrl-012114:1	OY15_18289:2480-2750
BJ-OY-ctrl-012135:1	OY03_02039:2580-2820
BJ-OY-ctrl-012168:1	OY11_01156:10-110
BJ-OY-ctrl-012186:1	OY14_08273:1170-1360
BJ-OY-ctrl-012223:1	OY14_14814:1620-1680
BJ-OY-ctrl-012226:1	OY04_06482:6350-6380
BJ-OY-ctrl-012235:1	OY14_52056:2190-2660
BJ-OY-ctrl-012255:1	OY05_04131:970-1110
BJ-OY-ctrl-012263:1	OY05_04347:1620-1780
BJ-OY-ctrl-012286:1	OY14_42413:8940-9200
BJ-OY-ctrl-012289:1	OY14_15221:2440-2560
BJ-OY-ctrl-012309:1	OY03_01841:1060-1240
BJ-OY-ctrl-012310:1	OY14_41639:1070-1160
BJ-OY-ctrl-012398:1	OY03_07373:1880-1920
BJ-OY-ctrl-012402:1	OY05_03805:10-160
BJ-OY-ctrl-012468:1	OY14_16107:7130-7290
BJ-OY-ctrl-012470:1	OY15_11278:10-220
BJ-OY-ctrl-012484:1	OY14_19260:650-780
BJ-OY-ctrl-012489:1	OY04_06648:4390-4590
BJ-OY-ctrl-012495:1	OY14_20631:800-910
BJ-OY-ctrl-012532:1	OY07_01383:430-590
BJ-OY-ctrl-012546:1	OY03_04660:220-480
BJ-OY-ctrl-012565:1	OY03_04654:2890-3020
BJ-OY-ctrl-012603:1	OY14_01199:4570-4900
BJ-OY-ctrl-012605:1	OY03_12168:320-430
BJ-OY-ctrl-012639:1	OY14_45146:960-1260
BJ-OY-ctrl-012649:1	OY03_01114:800-1030
BJ-OY-ctrl-012670:1	OY15_05784:1970-2220
BJ-OY-ctrl-012672:1	OY14_13028:4940-5070
BJ-OY-ctrl-012735:1	OY13_05859:2510-2690
BJ-OY-ctrl-012769:1	OY04_05454:480-680
BJ-OY-ctrl-012778:1	OY14_42942:7840-8120
BJ-OY-ctrl-012799:1	OY14_08683:3980-4330
BJ-OY-ctrl-012824:1	OY14_07681:2050-2180
BJ-OY-ctrl-012830:1	OY03_09810:3610-3800
BJ-OY-ctrl-012837:1	OY14_25152:610-860
BJ-OY-ctrl-012852:1	OY03_08944:5530-5830
BJ-OY-ctrl-012890:1	OY03_10937:1930-2270
BJ-OY-ctrl-012902:1	OY15_04141:4210-4710
BJ-OY-ctrl-012903:1	OY14_20410:3590-3710
BJ-OY-ctrl-012939:1	OY14_11111:1940-2110
BJ-OY-ctrl-012946:1	OY15_00986:1020-1360
BJ-OY-ctrl-012974:1	OY11_08337:940-1090
BJ-OY-ctrl-012991:1	OY14_09991:3330-3550
BJ-OY-ctrl-012993:1	OY08_01182:690-800
BJ-OY-ctrl-013059:1	OY14_01568:270-360
BJ-OY-ctrl-013085:1	OY02_00766:1890-1940
BJ-OY-ctrl-013141:1	OY14_42320:10-100
BJ-OY-ctrl-013162:1	OY15_20836:1120-1220
BJ-OY-ctrl-013199:1	OY14_47086:340-420
BJ-OY-ctrl-013219:1	OY14_05376:1950-1970
BJ-OY-ctrl-013243:1	OY13_00648:800-880
