BJ-OY-bqnc-000001:1	OY01_00037:720-810
BJ-OY-bqnc-000481:1	OY14_30069:3190-3270
BJ-OY-bqnc-000482:1	OY14_30080:360-530
BJ-OY-bqnc-000483:1	OY14_30092:50-110
BJ-OY-bqnc-000484:1	OY14_30092:120-190
BJ-OY-bqnc-000485:1	OY14_30096:220-310
BJ-OY-bqnc-000486:1	OY15_00005:210-230
BJ-OY-bqnc-000487:1	OY15_00005:240-400
BJ-OY-bqnc-000488:1	OY15_00005:2020-2090
BJ-OY-bqnc-000489:1	OY15_00009:1530-1790
BJ-OY-bqnc-000490:1	OY15_00009:1800-1960
BJ-OY-bqnc-000492:1	OY15_00058:4790-4850
BJ-OY-bqnc-000493:1	OY15_00060:8040-8060
BJ-OY-bqnc-000494:1	OY15_00060:8560-8600
BJ-OY-bqnc-000495:1	OY15_00064:2580-2690
BJ-OY-bqnc-000496:1	OY15_00081:1120-1250
BJ-OY-bqnc-000497:1	OY15_00087:1410-1460
BJ-OY-bqnc-000498:1	OY15_00089:180-230
BJ-OY-bqnc-000499:1	OY15_00093:5070-5310
BJ-OY-bqnc-000500:1	OY15_00093:7410-7660
BJ-OY-bqnc-000501:1	OY15_00100:1640-1790
BJ-OY-bqnc-000502:1	OY15_17190:1350-1450
BJ-OY-bqnc-000503:1	OY15_17190:1520-1750
BJ-OY-bqnc-000504:1	OY15_17190:2410-2440
BJ-OY-bqnc-000505:1	OY15_17190:2670-2760
BJ-OY-bqnc-000506:1	OY15_17192:460-530
BJ-OY-bqnc-000507:1	OY15_17208:10-220
BJ-OY-bqnc-000508:1	OY15_17208:230-700
BJ-OY-bqnc-000509:1	OY15_17208:1100-1290
BJ-OY-bqnc-000510:1	OY15_17208:1510-1840
BJ-OY-bqnc-000511:1	OY15_17208:2350-2560
BJ-OY-bqnc-000512:1	OY15_17208:4090-4220
BJ-OY-bqnc-000513:1	OY15_17208:4960-4990
BJ-OY-bqnc-000514:1	OY15_17216:2160-2330
BJ-OY-bqnc-000515:1	OY15_17228:330-340
BJ-OY-bqnc-000516:1	OY15_17228:1520-1720
BJ-OY-bqnc-000517:1	OY15_17228:3350-3370
BJ-OY-bqnc-000518:1	OY15_17228:3700-3880
BJ-OY-bqnc-000519:1	OY15_17229:1160-1530
BJ-OY-bqnc-000520:1	OY15_17238:90-260
BJ-OY-bqnc-000521:1	OY15_17238:2190-2210
BJ-OY-bqnc-000522:1	OY15_17242:310-440
BJ-OY-bqnc-000523:1	OY15_17242:450-590
BJ-OY-bqnc-000524:1	OY15_17258:40-100
BJ-OY-bqnc-000525:1	OY15_17258:1020-1260
BJ-OY-bqnc-000526:1	OY15_17258:1270-1440
BJ-OY-bqnc-000527:1	OY15_17258:1930-2000
BJ-OY-bqnc-000528:1	OY15_17258:3400-3440
BJ-OY-bqnc-000529:1	OY15_17258:3450-3520
BJ-OY-bqnc-000530:1	OY15_17265:10-90
BJ-OY-bqnc-000531:1	OY15_17265:180-330
BJ-OY-bqnc-000532:1	OY15_17265:1800-1830
BJ-OY-bqnc-000533:1	OY15_17266:200-280
BJ-OY-bqnc-000534:1	OY15_20002:10-50
BJ-OY-bqnc-000535:1	OY15_20016:10-70
BJ-OY-bqnc-000536:1	OY15_20016:3790-3820
BJ-OY-bqnc-000537:1	OY15_20016:4490-4530
BJ-OY-bqnc-000538:1	OY15_20016:6730-6930
BJ-OY-bqnc-000539:1	OY15_20023:780-910
BJ-OY-bqnc-000540:1	OY15_20023:3070-3190
BJ-OY-bqnc-000541:1	OY15_20028:90-120
BJ-OY-bqnc-000542:1	OY15_20028:2380-2580
BJ-OY-bqnc-000543:1	OY15_20028:3850-3970
BJ-OY-bqnc-000544:1	OY15_20028:5120-5240
BJ-OY-bqnc-000545:1	OY15_20030:2730-2960
BJ-OY-bqnc-000546:1	OY15_20037:3610-3670
BJ-OY-bqnc-000547:1	OY15_20042:970-1030
BJ-OY-bqnc-000548:1	OY15_20048:2060-2110
BJ-OY-bqnc-000549:1	OY15_20050:1270-1360
BJ-OY-bqnc-000550:1	OY15_20055:4170-4250
