BJ-OC-ctrl-000001:1	OC13_02060:250-580
BJ-OC-ctrl-005786:1	OC06_03729:10-190
BJ-OC-ctrl-005788:1	OC01_04541:720-990
BJ-OC-ctrl-005793:1	OC09_15236:1400-1440
BJ-OC-ctrl-005802:1	OC09_09070:450-770
BJ-OC-ctrl-005815:1	OC02_00870:670-1090
BJ-OC-ctrl-005832:1	OC03_01787:330-420
BJ-OC-ctrl-005834:1	OC09_06990:1410-1520
BJ-OC-ctrl-005841:1	OC06_00199:580-660
BJ-OC-ctrl-005853:1	OC10_03399:410-590
BJ-OC-ctrl-005881:1	OC02_07875:930-970
BJ-OC-ctrl-005908:1	OC02_06740:10-200
BJ-OC-ctrl-005937:1	OC14_07589:1780-2070
BJ-OC-ctrl-005951:1	OC10_02386:840-1180
BJ-OC-ctrl-005954:1	OC01_04557:10-220
BJ-OC-ctrl-005956:1	OC09_05485:290-520
BJ-OC-ctrl-005977:1	OC08_07317:1250-1350
BJ-OC-ctrl-005981:1	OC09_01402:10-110
BJ-OC-ctrl-005983:1	OC01_10119:10-150
BJ-OC-ctrl-005991:1	OC09_13701:640-1080
BJ-OC-ctrl-006029:1	OC04_01433:390-560
BJ-OC-ctrl-006037:1	OC08_07098:890-1000
BJ-OC-ctrl-006038:1	OC09_08630:730-1000
BJ-OC-ctrl-006040:1	OC02_04556:1310-1500
BJ-OC-ctrl-006041:1	OC02_03141:370-600
BJ-OC-ctrl-006053:1	OC10_03332:430-800
BJ-OC-ctrl-006056:1	OC10_03243:10-270
BJ-OC-ctrl-006061:1	OC14_05050:10-200
BJ-OC-ctrl-006071:1	OC14_03795:990-1190
BJ-OC-ctrl-006075:1	OC01_00647:130-340
BJ-OC-ctrl-006091:1	OC10_03872:2040-2380
BJ-OC-ctrl-006096:1	OC02_06295:1440-1570
BJ-OC-ctrl-006109:1	OC02_08666:620-760
BJ-OC-ctrl-006140:1	OC02_01028:1710-1890
BJ-OC-ctrl-006169:1	OC09_07044:4300-4410
BJ-OC-ctrl-006195:1	OC02_03989:90-320
BJ-OC-ctrl-006269:1	OC09_07596:430-470
BJ-OC-ctrl-006272:1	OC08_03784:70-410
BJ-OC-ctrl-006296:1	OC06_05921:1870-2150
BJ-OC-ctrl-006308:1	OC01_06688:10-410
BJ-OC-ctrl-006318:1	OC12_06442:2520-3130
BJ-OC-ctrl-006332:1	OC14_08442:190-280
BJ-OC-ctrl-006340:1	OC01_02158:280-350
BJ-OC-ctrl-006344:1	OC14_05801:490-720
BJ-OC-ctrl-006367:1	OC03_00570:100-280
BJ-OC-ctrl-006371:1	OC09_10098:400-490
BJ-OC-ctrl-006373:1	OC09_03442:1290-1400
BJ-OC-ctrl-006391:1	OC01_09477:790-890
BJ-OC-ctrl-006429:1	OC02_05797:1100-1270
BJ-OC-ctrl-006448:1	OC05_00527:70-710
BJ-OC-ctrl-006462:1	OC06_01373:690-860
BJ-OC-ctrl-006469:1	OC08_03136:200-640
BJ-OC-ctrl-006483:1	OC06_04010:10-170
BJ-OC-ctrl-006506:1	OC09_02966:120-520
BJ-OC-ctrl-006519:1	OC10_03008:600-990
BJ-OC-ctrl-006551:1	OC14_03887:10-190
BJ-OC-ctrl-006555:1	OC02_00497:310-450
BJ-OC-ctrl-006587:1	OC01_06310:1220-1300
BJ-OC-ctrl-006632:1	OC01_05422:1200-1430
BJ-OC-ctrl-006641:1	OC02_01643:780-990
BJ-OC-ctrl-006657:1	OC12_06930:810-1080
BJ-OC-ctrl-006661:1	OC14_01563:370-500
BJ-OC-ctrl-006676:1	OC09_00083:720-910
BJ-OC-ctrl-006721:1	OC01_07649:300-730
BJ-OC-ctrl-006726:1	OC04_00380:430-510
BJ-OC-ctrl-006730:1	OC06_05466:980-1190
BJ-OC-ctrl-006770:1	OC08_06475:150-500
BJ-OC-ctrl-006789:1	OC09_03567:2190-2280
BJ-OC-ctrl-006790:1	OC10_01356:2670-2960
BJ-OC-ctrl-006792:1	OC12_01570:670-810
BJ-OC-ctrl-006793:1	OC09_09006:2360-2850
BJ-OC-ctrl-006808:1	OC09_07754:1330-1520
BJ-OC-ctrl-006817:1	OC08_01057:1640-1790
BJ-OC-ctrl-006837:1	OC14_03520:960-1010
BJ-OC-ctrl-006857:1	OC13_02448:10-260
BJ-OC-ctrl-006871:1	OC12_01524:640-720
BJ-OC-ctrl-006894:1	OC12_04803:880-1010
BJ-OC-ctrl-006923:1	OC12_05327:360-510
BJ-OC-ctrl-006934:1	OC06_01049:400-510
BJ-OC-ctrl-006949:1	OC10_02911:2780-2930
BJ-OC-ctrl-006957:1	OC06_00068:10-470
BJ-OC-ctrl-006976:1	OC09_09991:4130-4320
BJ-OC-ctrl-006994:1	OC10_02727:450-660
BJ-OC-ctrl-007027:1	OC09_12598:2050-2290
BJ-OC-ctrl-007043:1	OC09_03756:590-700
BJ-OC-ctrl-007092:1	OC02_06931:620-670
BJ-OC-ctrl-007134:1	OC13_01570:10-50
BJ-OC-ctrl-007158:1	OC01_02335:240-340
BJ-OC-ctrl-007163:1	OC09_02091:1050-1410
BJ-OC-ctrl-007170:1	OC01_08025:930-1570
BJ-OC-ctrl-007185:1	OC12_01113:840-1070
BJ-OC-ctrl-007214:1	OC09_12203:2150-2400
BJ-OC-ctrl-007220:1	OC10_03512:150-360
BJ-OC-ctrl-007229:1	OC13_02935:770-960
BJ-OC-ctrl-007235:1	OC02_06293:1290-1630
BJ-OC-ctrl-007259:1	OC06_04657:520-590
BJ-OC-ctrl-007261:1	OC01_03639:620-790
BJ-OC-ctrl-007281:1	OC01_08510:10-340
BJ-OC-ctrl-007304:1	OC02_02386:830-1150
BJ-OC-ctrl-007318:1	OC08_05341:10-290
BJ-OC-ctrl-007328:1	OC14_07413:780-950
BJ-OC-ctrl-007340:1	OC02_08279:10-240
BJ-OC-ctrl-007347:1	OC13_00395:230-440
BJ-OC-ctrl-007372:1	OC10_01138:550-940
BJ-OC-ctrl-007385:1	OC06_06806:1750-1900
BJ-OC-ctrl-007400:1	OC10_00518:140-270
BJ-OC-ctrl-007431:1	OC12_02155:860-970
BJ-OC-ctrl-007465:1	OC01_05164:1020-1160
BJ-OC-ctrl-007467:1	OC02_00145:10-160
BJ-OC-ctrl-007473:1	OC13_02704:250-430
BJ-OC-ctrl-007481:1	OC02_05759:3430-3570
BJ-OC-ctrl-007499:1	OC04_00842:10-330
BJ-OC-ctrl-007502:1	OC02_06717:410-520
BJ-OC-ctrl-007532:1	OC02_07726:10-290
BJ-OC-ctrl-007557:1	OC02_07590:630-750
BJ-OC-ctrl-007560:1	OC03_00729:1420-1630
BJ-OC-ctrl-007577:1	OC06_04028:150-300
BJ-OC-ctrl-007584:1	OC01_06256:720-800
BJ-OC-ctrl-007597:1	OC09_12508:1370-1460
BJ-OC-ctrl-007629:1	OC14_05587:10-140
BJ-OC-ctrl-007635:1	OC14_04980:540-830
BJ-OC-ctrl-007646:1	OC08_06824:290-350
BJ-OC-ctrl-007647:1	OC05_00440:2330-2430
BJ-OC-ctrl-007649:1	OC08_07946:230-370
BJ-OC-ctrl-007708:1	OC06_01223:10-270
BJ-OC-ctrl-007721:1	OC09_15007:370-470
BJ-OC-ctrl-007732:1	OC02_00631:680-1090
BJ-OC-ctrl-007743:1	OC02_05833:840-1010
BJ-OC-ctrl-007764:1	OC06_03516:1240-1330
BJ-OC-ctrl-007862:1	OC12_05461:210-360
BJ-OC-ctrl-007876:1	OC12_03597:640-760
BJ-OC-ctrl-007890:1	OC05_01460:500-1030
BJ-OC-ctrl-007916:1	OC09_11943:10-240
BJ-OC-ctrl-007922:1	OC09_14164:2190-2390
BJ-OC-ctrl-007930:1	OC09_05818:2210-2300
BJ-OC-ctrl-007971:1	OC14_01203:1700-1770
BJ-OC-ctrl-007979:1	OC10_01476:1320-1840
BJ-OC-ctrl-007983:1	OC03_02606:2240-2470
BJ-OC-ctrl-007991:1	OC09_14139:400-640
BJ-OC-ctrl-008027:1	OC12_00600:10-150
BJ-OC-ctrl-008072:1	OC15_00467:490-600
BJ-OC-ctrl-008085:1	OC12_04772:490-660
BJ-OC-ctrl-008121:1	OC08_01182:600-680
BJ-OC-ctrl-008122:1	OC14_00879:380-590
BJ-OC-ctrl-008125:1	OC09_04315:1400-1580
BJ-OC-ctrl-008148:1	OC08_03704:550-720
BJ-OC-ctrl-008159:1	OC09_09699:630-1300
BJ-OC-ctrl-008169:1	OC08_02893:580-690
BJ-OC-ctrl-008269:1	OC09_00380:10-160
BJ-OC-ctrl-008293:1	OC01_00454:10-130
BJ-OC-ctrl-008297:1	OC14_07788:10-760
BJ-OC-ctrl-008311:1	OC01_07708:280-440
BJ-OC-ctrl-008335:1	OC14_08968:120-340
BJ-OC-ctrl-008437:1	OC12_05729:630-770
BJ-OC-ctrl-008456:1	OC02_06978:880-1060
BJ-OC-ctrl-008480:1	OC08_03852:1860-2030
BJ-OC-ctrl-008483:1	OC06_02954:10-110
BJ-OC-ctrl-008491:1	OC06_00275:10-210
BJ-OC-ctrl-008523:1	OC13_02472:390-470
BJ-OC-ctrl-008550:1	OC08_00032:310-590
BJ-OC-ctrl-008724:1	OC06_05640:130-320
BJ-OC-ctrl-008775:1	OC09_00871:270-470
BJ-OC-ctrl-008830:1	OC14_04678:420-490
BJ-OC-ctrl-008835:1	OC09_10572:10-240
BJ-OC-ctrl-008871:1	OC01_04314:10-320
BJ-OC-ctrl-008920:1	OC08_07214:450-630
BJ-OC-ctrl-008992:1	OC06_02504:10-170
BJ-OC-ctrl-009037:1	OC09_11054:220-340
BJ-OC-ctrl-009072:1	OC14_06038:10-250
BJ-OC-ctrl-009073:1	OC14_00489:1050-1200
BJ-OC-ctrl-009081:1	OC01_01179:1570-1920
BJ-OC-ctrl-009238:1	OC14_12007:160-330
BJ-OC-ctrl-009269:1	OC01_03041:790-1400
BJ-OC-ctrl-009297:1	OC14_12058:200-410
BJ-OC-ctrl-009312:1	OC01_03859:10-150
BJ-OC-ctrl-009424:1	OC08_05057:10-130
BJ-OC-ctrl-009446:1	OC02_01128:10-190
BJ-OC-ctrl-009487:1	OC06_04222:1200-1410
BJ-OC-ctrl-009497:1	OC02_01617:460-570
BJ-OC-ctrl-009504:1	OC06_04161:840-1070
BJ-OC-ctrl-009510:1	OC09_09099:10-140
BJ-OC-ctrl-009799:1	OC13_00285:1070-1180
BJ-OC-ctrl-009826:1	OC09_08618:510-870
BJ-OC-ctrl-009891:1	OC09_08171:1280-1510
BJ-OC-ctrl-009944:1	OC03_00570:290-530
BJ-OC-ctrl-009974:1	OC10_04507:1150-1200
BJ-OC-ctrl-009993:1	OC14_09745:500-590
BJ-OC-ctrl-010017:1	OC12_03325:3370-3530
BJ-OC-ctrl-010025:1	OC02_04706:1490-1910
BJ-OC-ctrl-010029:1	OC03_00459:1210-1440
BJ-OC-ctrl-010038:1	OC05_01378:1450-1710
BJ-OC-ctrl-010039:1	OC10_01947:1400-1540
BJ-OC-ctrl-010087:1	OC01_04429:10-140
BJ-OC-ctrl-010188:1	OC01_02908:520-630
BJ-OC-ctrl-010200:1	OC06_04066:10-120
BJ-OC-ctrl-010217:1	OC10_02807:840-980
BJ-OC-ctrl-010227:1	OC08_00864:1600-1880
BJ-OC-ctrl-010247:1	OC01_07505:270-650
BJ-OC-ctrl-010252:1	OC15_00938:760-800
BJ-OC-ctrl-010269:1	OC08_06455:1600-1890
BJ-OC-ctrl-010418:1	OC10_02714:10-260
BJ-OC-ctrl-010427:1	OC09_00220:510-660
BJ-OC-ctrl-010428:1	OC02_08979:550-730
BJ-OC-ctrl-010517:1	OC12_05978:2520-2710
BJ-OC-ctrl-010531:1	OC11_00792:610-650
BJ-OC-ctrl-010589:1	OC09_03296:660-720
BJ-OC-ctrl-010600:1	OC01_01552:390-540
BJ-OC-ctrl-010612:1	OC12_01452:760-820
BJ-OC-ctrl-010655:1	OC12_05312:10-110
BJ-OC-ctrl-010672:1	OC14_09556:10-100
BJ-OC-ctrl-010718:1	OC11_00688:1420-1490
BJ-OC-ctrl-010767:1	OC14_08354:1120-1220
BJ-OC-ctrl-010820:1	OC12_02108:250-530
BJ-OC-ctrl-010862:1	OC08_04164:10-100
BJ-OC-ctrl-010943:1	OC02_05970:340-470
BJ-OC-ctrl-011023:1	OC05_00262:10-360
BJ-OC-ctrl-011025:1	OC09_00254:490-740
BJ-OC-ctrl-011027:1	OC08_06720:10-120
BJ-OC-ctrl-011040:1	OC02_02777:10-180
BJ-OC-ctrl-011044:1	OC01_04105:1600-1990
BJ-OC-ctrl-011077:1	OC09_05911:10-470
BJ-OC-ctrl-011110:1	OC02_07355:1280-1480
BJ-OC-ctrl-011126:1	OC09_02516:540-690
BJ-OC-ctrl-011161:1	OC02_02279:10-330
BJ-OC-ctrl-011165:1	OC02_08822:10-60
BJ-OC-ctrl-011254:1	OC10_04723:830-1080
BJ-OC-ctrl-011389:1	OC02_06985:1200-1580
BJ-OC-ctrl-011415:1	OC09_05367:940-1080
BJ-OC-ctrl-011601:1	OC01_02185:640-840
BJ-OC-ctrl-011627:1	OC12_00126:340-600
BJ-OC-ctrl-011674:1	OC10_01422:3460-3660
BJ-OC-ctrl-011692:1	OC13_02457:10-170
BJ-OC-ctrl-011695:1	OC06_06086:260-410
BJ-OC-ctrl-011696:1	OC09_15214:150-290
BJ-OC-ctrl-011741:1	OC13_00131:1980-2210
BJ-OC-ctrl-011766:1	OC02_02638:480-540
BJ-OC-ctrl-011773:1	OC13_00465:490-620
BJ-OC-ctrl-011792:1	OC06_01001:240-410
BJ-OC-ctrl-011806:1	OC09_05647:1230-1370
BJ-OC-ctrl-011817:1	OC02_07278:370-570
BJ-OC-ctrl-011830:1	OC01_05499:590-700
BJ-OC-ctrl-011844:1	OC09_06485:10-500
BJ-OC-ctrl-011869:1	OC14_06228:620-720
BJ-OC-ctrl-011879:1	OC02_01250:190-380
BJ-OC-ctrl-011898:1	OC03_00177:2010-2250
BJ-OC-ctrl-011907:1	OC10_04656:980-1140
BJ-OC-ctrl-011921:1	OC01_10068:460-610
BJ-OC-ctrl-011932:1	OC14_09873:730-1220
BJ-OC-ctrl-011933:1	OC06_03664:430-600
BJ-OC-ctrl-011979:1	OC01_08053:1100-1330
BJ-OC-ctrl-011985:1	OC02_09149:10-270
BJ-OC-ctrl-011992:1	OC08_02982:110-170
BJ-OC-ctrl-012006:1	OC01_06680:10-190
BJ-OC-ctrl-012019:1	OC02_00537:2450-2640
BJ-OC-ctrl-012034:1	OC14_03512:1100-1330
BJ-OC-ctrl-012038:1	OC14_06144:10-340
BJ-OC-ctrl-012116:1	OC11_00762:2600-2950
BJ-OC-ctrl-012120:1	OC14_11207:970-1130
BJ-OC-ctrl-012195:1	OC12_06735:390-510
BJ-OC-ctrl-012269:1	OC08_06570:2820-2890
BJ-OC-ctrl-012282:1	OC14_06610:790-1030
BJ-OC-ctrl-012304:1	OC02_08522:540-680
BJ-OC-ctrl-012325:1	OC06_01353:420-630
BJ-OC-ctrl-012361:1	OC09_08894:10-240
BJ-OC-ctrl-012366:1	OC03_00995:10-330
BJ-OC-ctrl-012383:1	OC09_05491:1040-1410
BJ-OC-ctrl-012431:1	OC02_05445:1650-1920
BJ-OC-ctrl-012463:1	OC02_01803:10-330
BJ-OC-ctrl-012553:1	OC08_06588:630-750
BJ-OC-ctrl-012592:1	OC09_00648:430-530
BJ-OC-ctrl-012604:1	OC09_07507:10-230
BJ-OC-ctrl-012676:1	OC01_09900:350-520
BJ-OC-ctrl-012678:1	OC01_04295:50-590
BJ-OC-ctrl-012754:1	OC10_01421:10-280
BJ-OC-ctrl-012770:1	OC02_07309:10-210
BJ-OC-ctrl-012829:1	OC10_02981:1500-1640
BJ-OC-ctrl-012857:1	OC09_08284:860-1250
BJ-OC-ctrl-012979:1	OC09_08264:190-310
BJ-OC-ctrl-013068:1	OC01_07766:180-360
BJ-OC-ctrl-013089:1	OC06_06609:340-400
BJ-OC-ctrl-013100:1	OC10_02463:1840-2050
BJ-OC-ctrl-013125:1	OC10_04603:340-460
BJ-OC-ctrl-013160:1	OC09_09668:200-430
BJ-OC-ctrl-013243:1	OC08_00170:1030-1250
BJ-OC-ctrl-013250:1	OC13_02932:470-880
BJ-OC-ctrl-013284:1	OC01_02352:10-250
BJ-OC-ctrl-013318:1	OC09_13553:2380-2640
BJ-OC-ctrl-013323:1	OC14_09277:1100-1270
BJ-OC-ctrl-013349:1	OC13_00161:10-230
BJ-OC-ctrl-013358:1	OC08_00529:10-240
BJ-OC-ctrl-013392:1	OC09_01864:810-980
BJ-OC-ctrl-013400:1	OC08_02836:10-220
BJ-OC-ctrl-013446:1	OC01_04019:1020-1190
BJ-OC-ctrl-013487:1	OC01_06473:10-80
BJ-OC-ctrl-013526:1	OC08_06570:1940-2230
BJ-OC-ctrl-013589:1	OC13_01071:630-770
BJ-OC-ctrl-013594:1	OC02_06241:410-540
BJ-OC-ctrl-013611:1	OC09_07883:780-850
BJ-OC-ctrl-013624:1	OC04_00748:1440-1530
BJ-OC-ctrl-013638:1	OC02_03140:620-700
BJ-OC-ctrl-013662:1	OC14_04515:770-920
BJ-OC-ctrl-013688:1	OC02_02516:10-160
BJ-OC-ctrl-013710:1	OC14_01075:10-550
BJ-OC-ctrl-013724:1	OC10_00827:2330-2490
BJ-OC-ctrl-013731:1	OC12_05836:870-1030
BJ-OC-ctrl-013746:1	OC14_11761:290-460
BJ-OC-ctrl-013813:1	OC09_02017:860-920
BJ-OC-ctrl-013817:1	OC02_03896:950-1260
BJ-OC-ctrl-013854:1	OC06_03462:460-680
BJ-OC-ctrl-013862:1	OC09_14072:460-560
BJ-OC-ctrl-013878:1	OC10_03261:140-420
BJ-OC-ctrl-013879:1	OC14_09094:750-910
BJ-OC-ctrl-013889:1	OC09_00495:940-1160
BJ-OC-ctrl-013897:1	OC08_06891:830-890
BJ-OC-ctrl-013944:1	OC01_10609:10-100
BJ-OC-ctrl-014007:1	OC15_00261:1010-1240
BJ-OC-ctrl-014103:1	OC02_00743:150-460
BJ-OC-ctrl-014107:1	OC02_08066:980-1340
BJ-OC-ctrl-014108:1	OC09_00598:530-760
BJ-OC-ctrl-014123:1	OC12_00514:250-480
BJ-OC-ctrl-014148:1	OC02_00366:850-1060
BJ-OC-ctrl-014153:1	OC06_06200:280-390
BJ-OC-ctrl-014170:1	OC09_11669:580-690
BJ-OC-ctrl-014187:1	OC05_03232:1290-1550
BJ-OC-ctrl-014208:1	OC02_06663:800-970
BJ-OC-ctrl-014232:1	OC12_02908:1230-1410
BJ-OC-ctrl-014280:1	OC01_05685:1020-1300
BJ-OC-ctrl-014336:1	OC09_07428:10-350
BJ-OC-ctrl-014392:1	OC01_06857:10-260
BJ-OC-ctrl-014398:1	OC09_00818:1370-1750
BJ-OC-ctrl-014410:1	OC09_02572:1200-1300
BJ-OC-ctrl-014434:1	OC13_00199:10-300
BJ-OC-ctrl-014463:1	OC09_14106:630-820
BJ-OC-ctrl-014508:1	OC04_00436:760-830
BJ-OC-ctrl-014514:1	OC09_06116:650-750
BJ-OC-ctrl-014516:1	OC06_03438:2220-2380
BJ-OC-ctrl-014549:1	OC14_09473:10-190
BJ-OC-ctrl-014595:1	OC02_06375:960-1320
BJ-OC-ctrl-014618:1	OC10_00037:1060-1280
BJ-OC-ctrl-014704:1	OC14_11096:160-530
BJ-OC-ctrl-014743:1	OC14_06857:10-380
BJ-OC-ctrl-014753:1	OC01_03384:540-860
BJ-OC-ctrl-014825:1	OC01_05338:10-260
BJ-OC-ctrl-014846:1	OC01_07215:10-270
BJ-OC-ctrl-014860:1	OC02_01483:10-310
BJ-OC-ctrl-014861:1	OC14_11522:10-150
BJ-OC-ctrl-014864:1	OC03_01093:990-1080
BJ-OC-ctrl-014872:1	OC14_02420:4880-4980
BJ-OC-ctrl-014873:1	OC01_03038:900-1420
BJ-OC-ctrl-014877:1	OC02_02554:10-600
BJ-OC-ctrl-014913:1	OC02_05650:570-650
BJ-OC-ctrl-014950:1	OC09_05838:10-180
BJ-OC-ctrl-015016:1	OC08_06371:560-630
BJ-OC-ctrl-015134:1	OC01_08708:60-390
BJ-OC-ctrl-015148:1	OC02_02598:640-1080
BJ-OC-ctrl-015223:1	OC14_05415:380-690
BJ-OC-ctrl-015232:1	OC11_00590:290-660
BJ-OC-ctrl-015237:1	OC09_00728:2480-2530
BJ-OC-ctrl-015296:1	OC06_05181:140-450
BJ-OC-ctrl-015305:1	OC10_04040:530-820
BJ-OC-ctrl-015335:1	OC13_03212:2230-2520
BJ-OC-ctrl-015341:1	OC02_09086:800-950
BJ-OC-ctrl-015344:1	OC02_07327:950-1380
BJ-OC-ctrl-015346:1	OC06_00925:950-1140
BJ-OC-ctrl-015389:1	OC06_03277:10-160
BJ-OC-ctrl-015397:1	OC02_05951:350-440
BJ-OC-ctrl-015410:1	OC08_05325:1220-1520
BJ-OC-ctrl-015416:1	OC10_00492:2520-2640
BJ-OC-ctrl-015419:1	OC09_00762:10-80
BJ-OC-ctrl-015422:1	OC08_00126:500-550
BJ-OC-ctrl-015429:1	OC14_04344:10-50
BJ-OC-ctrl-015481:1	OC11_01532:860-1130
BJ-OC-ctrl-015485:1	OC10_02720:10-460
BJ-OC-ctrl-015516:1	OC02_04531:540-740
BJ-OC-ctrl-015594:1	OC01_08952:10-410
BJ-OC-ctrl-015610:1	OC01_08725:10-330
BJ-OC-ctrl-015615:1	OC14_00785:690-790
BJ-OC-ctrl-015616:1	OC02_07693:500-640
BJ-OC-ctrl-015678:1	OC14_09234:760-930
BJ-OC-ctrl-015715:1	OC02_03843:320-620
BJ-OC-ctrl-015728:1	OC01_01075:170-430
BJ-OC-ctrl-015730:1	OC11_00340:270-500
BJ-OC-ctrl-015776:1	OC01_08585:130-260
BJ-OC-ctrl-015801:1	OC01_09883:10-80
BJ-OC-ctrl-015834:1	OC06_04753:120-350
BJ-OC-ctrl-015857:1	OC14_01123:940-1140
BJ-OC-ctrl-015867:1	OC14_05690:440-610
BJ-OC-ctrl-015868:1	OC02_01343:10-370
BJ-OC-ctrl-015879:1	OC14_09953:10-200
BJ-OC-ctrl-015937:1	OC08_06790:620-790
BJ-OC-ctrl-015954:1	OC10_03093:10-320
BJ-OC-ctrl-015972:1	OC08_07739:530-620
BJ-OC-ctrl-016025:1	OC01_03106:920-1040
BJ-OC-ctrl-016041:1	OC09_07844:1800-1940
BJ-OC-ctrl-016058:1	OC02_08226:1170-1530
BJ-OC-ctrl-016102:1	OC10_02500:1310-1420
BJ-OC-ctrl-016108:1	OC02_08532:10-160
BJ-OC-ctrl-016130:1	OC08_06853:10-180
BJ-OC-ctrl-016134:1	OC01_11056:1110-1410
BJ-OC-ctrl-016155:1	OC10_01257:210-350
BJ-OC-ctrl-016193:1	OC02_06487:1040-1470
BJ-OC-ctrl-016223:1	OC09_09891:310-730
BJ-OC-ctrl-016245:1	OC01_02094:530-640
BJ-OC-ctrl-016252:1	OC01_09505:520-730
BJ-OC-ctrl-016368:1	OC06_05966:2050-2290
BJ-OC-ctrl-016485:1	OC12_00171:720-1070
BJ-OC-ctrl-016560:1	OC09_04292:870-1100
BJ-OC-ctrl-016561:1	OC09_00244:980-1110
BJ-OC-ctrl-016575:1	OC14_03655:340-410
BJ-OC-ctrl-016580:1	OC08_00533:500-790
BJ-OC-ctrl-016586:1	OC12_06610:670-860
BJ-OC-ctrl-016618:1	OC12_05295:340-470
BJ-OC-ctrl-016691:1	OC10_04337:10-190
BJ-OC-ctrl-016695:1	OC12_00917:90-190
BJ-OC-ctrl-016704:1	OC06_00793:10-360
BJ-OC-ctrl-016705:1	OC08_07515:10-80
BJ-OC-ctrl-016723:1	OC02_02935:1350-1450
BJ-OC-ctrl-016732:1	OC01_01826:160-510
BJ-OC-ctrl-016736:1	OC14_01171:260-710
BJ-OC-ctrl-016771:1	OC08_01639:1250-1350
BJ-OC-ctrl-016791:1	OC14_01981:2030-2320
BJ-OC-ctrl-016803:1	OC01_03123:10-190
BJ-OC-ctrl-016851:1	OC09_01006:750-1100
BJ-OC-ctrl-016862:1	OC01_01973:120-320
BJ-OC-ctrl-016964:1	OC09_01973:1320-1540
BJ-OC-ctrl-016970:1	OC08_04814:970-1280
BJ-OC-ctrl-016973:1	OC02_07616:840-1130
BJ-OC-ctrl-016982:1	OC01_07662:1480-1770
BJ-OC-ctrl-017033:1	OC01_03872:10-500
BJ-OC-ctrl-017042:1	OC10_04180:400-720
BJ-OC-ctrl-017055:1	OC09_09414:100-640
BJ-OC-ctrl-017134:1	OC02_06323:600-800
BJ-OC-ctrl-017264:1	OC15_00811:1350-1470
BJ-OC-ctrl-017293:1	OC06_06877:2900-3120
BJ-OC-ctrl-017348:1	OC08_00970:10-250
BJ-OC-ctrl-017436:1	OC12_02558:860-960
BJ-OC-ctrl-017544:1	OC09_03725:1620-1980
BJ-OC-ctrl-017552:1	OC08_03541:650-840
BJ-OC-ctrl-017554:1	OC09_12784:2270-2450
BJ-OC-ctrl-017577:1	OC02_05866:2750-3170
BJ-OC-ctrl-017644:1	OC01_10955:10-350
BJ-OC-ctrl-017796:1	OC06_03142:1420-1700
BJ-OC-ctrl-017806:1	OC01_04074:390-540
BJ-OC-ctrl-018039:1	OC02_06598:10-530
BJ-OC-ctrl-018068:1	OC12_03817:910-1020
BJ-OC-ctrl-018070:1	OC05_00343:830-1070
BJ-OC-ctrl-018119:1	OC09_10182:870-1030
BJ-OC-ctrl-018138:1	OC12_05032:10-190
BJ-OC-ctrl-018477:1	OC02_01879:180-550
BJ-OC-ctrl-018569:1	OC08_06540:320-480
BJ-OC-ctrl-018600:1	OC08_07650:190-370
BJ-OC-ctrl-018697:1	OC05_01099:320-580
BJ-OC-ctrl-018783:1	OC08_00771:1060-1350
BJ-OC-ctrl-018887:1	OC08_06351:210-330
BJ-OC-ctrl-018942:1	OC09_12198:880-1020
BJ-OC-ctrl-019154:1	OC12_07087:1480-1680
BJ-OC-ctrl-019241:1	OC10_03755:760-1000
BJ-OC-ctrl-019267:1	OC09_04482:990-1350
BJ-OC-ctrl-019321:1	OC12_05567:10-340
BJ-OC-ctrl-019479:1	OC05_00879:1420-1460
BJ-OC-ctrl-019496:1	OC10_00562:600-830
BJ-OC-ctrl-019599:1	OC09_04141:190-400
BJ-OC-ctrl-019697:1	OC10_03532:990-1240
BJ-OC-ctrl-019727:1	OC09_07112:10-330
BJ-OC-ctrl-019738:1	OC10_01443:590-760
BJ-OC-ctrl-019752:1	OC09_14791:540-830
BJ-OC-ctrl-019767:1	OC01_10656:1330-1440
BJ-OC-ctrl-019939:1	OC09_13813:440-550
BJ-OC-ctrl-020003:1	OC06_03533:10-850
BJ-OC-ctrl-020007:1	OC09_08771:1530-1640
BJ-OC-ctrl-020019:1	OC02_08581:860-1050
BJ-OC-ctrl-020037:1	OC12_01366:1050-1300
BJ-OC-ctrl-020081:1	OC09_05138:530-600
BJ-OC-ctrl-020086:1	OC09_00203:10-130
BJ-OC-ctrl-020112:1	OC14_08445:620-730
BJ-OC-ctrl-020113:1	OC06_05673:810-1000
BJ-OC-ctrl-020140:1	OC06_03757:10-290
BJ-OC-ctrl-020141:1	OC09_12130:380-820
BJ-OC-ctrl-020237:1	OC01_10084:1470-1950
BJ-OC-ctrl-020266:1	OC05_00878:850-980
BJ-OC-ctrl-020285:1	OC13_02857:1950-2090
BJ-OC-ctrl-020289:1	OC13_01833:1010-1180
BJ-OC-ctrl-020305:1	OC09_02733:1580-1710
BJ-OC-ctrl-020323:1	OC08_05249:1960-2200
BJ-OC-ctrl-020518:1	OC10_03194:1530-1760
BJ-OC-ctrl-020531:1	OC12_00344:10-140
BJ-OC-ctrl-020563:1	OC02_01529:980-1240
BJ-OC-ctrl-020571:1	OC06_02453:10-110
BJ-OC-ctrl-020591:1	OC14_11157:10-80
